
0.0.0	0.63.*	山东省济南市
1.214.75	1.214.77	山东省菏泽市
1.214.78	1.214.78	山东省菏泽市鄄城县
1.214.79	1.214.81	山东省菏泽市
1.214.82	1.214.82	山东省菏泽市鄄城县
1.214.83	1.214.89	山东省菏泽市
1.214.90	1.214.90	山东省菏泽市鄄城县
1.214.91	1.214.93	山东省菏泽市
1.214.94	1.214.94	山东省菏泽市鄄城县
1.214.95	1.214.97	山东省菏泽市
1.214.98	1.214.98	山东省菏泽市鄄城县
1.214.99	1.214.105	山东省菏泽市
1.214.106	1.214.106	山东省菏泽市鄄城县
1.214.107	1.214.109	山东省菏泽市
1.214.110	1.214.110	山东省菏泽市鄄城县
1.214.111	1.214.113	山东省菏泽市
1.214.114	1.214.114	山东省菏泽市鄄城县
1.214.115	1.214.117	山东省菏泽市
1.214.118	1.214.118	山东省菏泽市鄄城县
1.214.119	1.214.121	山东省菏泽市
1.214.122	1.214.122	山东省菏泽市鄄城县
1.214.123	1.214.125	山东省菏泽市
1.214.126	1.214.126	山东省菏泽市鄄城县
1.214.127	1.214.129	山东省菏泽市
1.214.130	1.214.130	山东省菏泽市鄄城县
1.214.131	1.214.137	山东省菏泽市
1.214.138	1.214.138	山东省菏泽市鄄城县
1.214.139	1.214.145	山东省菏泽市
1.214.146	1.214.146	山东省菏泽市鄄城县
1.214.147	1.214.161	山东省菏泽市
1.214.162	1.214.162	山东省菏泽市鄄城县
1.214.163	1.214.165	山东省菏泽市
1.214.166	1.214.166	山东省菏泽市鄄城县
1.214.167	1.214.169	山东省菏泽市
1.214.170	1.214.170	山东省菏泽市鄄城县
1.214.171	1.214.177	山东省菏泽市
1.214.178	1.214.178	山东省菏泽市鄄城县
1.214.179	1.214.185	山东省菏泽市
1.214.186	1.214.186	山东省菏泽市鄄城县
1.214.187	1.214.189	山东省菏泽市
1.214.190	1.214.190	山东省菏泽市鄄城县
1.214.191	1.214.193	山东省菏泽市
1.214.194	1.214.194	山东省菏泽市鄄城县
1.214.195	1.214.197	山东省菏泽市
1.214.198	1.214.198	山东省菏泽市鄄城县
1.214.199	1.214.205	山东省菏泽市
1.214.206	1.214.206	山东省菏泽市鄄城县
1.214.207	1.214.209	山东省菏泽市
1.214.210	1.214.210	山东省菏泽市鄄城县
1.214.211	1.214.213	山东省菏泽市
1.214.214	1.214.214	山东省菏泽市鄄城县
1.214.215	1.214.217	山东省菏泽市
1.214.218	1.214.218	山东省菏泽市鄄城县
1.214.219	1.215.1	山东省菏泽市
1.215.2	1.215.2	山东省菏泽市鄄城县
1.215.3	1.215.123	山东省菏泽市
1.215.124	1.215.125	山东省菏泽市鄄城县
1.215.126	1.223.*	山东省菏泽市
1.224.0	1.224.49	山东省泰安市
1.224.50	1.*.*	山东省枣庄市
2.0.0	2.1.*	山东省济宁市
2.2.0	2.3.*	山东省济宁市兖州市
2.4.0	2.41.*	山东省济宁市
2.42.0	2.43.*	山东省济宁市兖州市
2.44.0	2.44.9	山东省济宁市
2.44.10	2.44.10	山东省济宁市兖州市
2.44.11	2.44.25	山东省济宁市
2.44.26	2.44.26	山东省济宁市兖州市
2.44.27	2.44.149	山东省济宁市
2.44.150	2.44.150	山东省济宁市兖州市
2.44.151	2.47.*	山东省济宁市
2.48.0	2.50.*	山东省
2.51.0	2.63.*	山东省日照市
2.64.0	2.92.97	山东省临沂市
2.92.98	2.92.98	山东省临沂市沂水县
2.92.99	2.92.149	山东省临沂市
2.92.150	2.92.150	山东省临沂市沂水县
2.92.151	2.93.1	山东省临沂市
2.93.2	2.93.2	山东省临沂市沂水县
2.93.3	2.93.5	山东省临沂市
2.93.6	2.93.6	山东省临沂市沂水县
2.93.7	2.93.9	山东省临沂市
2.93.10	2.93.10	山东省临沂市沂水县
2.93.11	2.93.21	山东省临沂市
2.93.22	2.93.22	山东省临沂市沂水县
2.93.23	2.93.109	山东省临沂市
2.93.110	2.93.110	山东省临沂市沂水县
2.93.111	2.94.65	山东省临沂市
2.94.66	2.94.66	山东省临沂市沂水县
2.94.67	2.94.73	山东省临沂市
2.94.74	2.94.74	山东省临沂市沂水县
2.94.75	2.94.85	山东省临沂市
2.94.86	2.94.86	山东省临沂市沂水县
2.94.87	2.94.129	山东省临沂市
2.94.130	2.94.130	山东省临沂市沂水县
2.94.131	2.94.141	山东省临沂市
2.94.142	2.94.142	山东省临沂市沂水县
2.94.143	2.94.181	山东省临沂市
2.94.182	2.94.182	山东省临沂市沂水县
2.94.183	2.94.185	山东省临沂市
2.94.186	2.94.186	山东省临沂市沂水县
2.94.187	2.94.201	山东省临沂市
2.94.202	2.94.202	山东省临沂市沂水县
2.94.203	2.94.209	山东省临沂市
2.94.210	2.94.211	山东省临沂市沂水县
2.94.212	2.94.213	山东省临沂市
2.94.214	2.94.214	山东省临沂市沂水县
2.94.215	2.94.249	山东省临沂市
2.94.250	2.94.250	山东省临沂市沂水县
2.94.251	2.95.9	山东省临沂市
2.95.10	2.95.10	山东省临沂市沂南县
2.95.11	2.95.21	山东省临沂市
2.95.22	2.95.22	山东省临沂市沂南县
2.95.23	2.95.33	山东省临沂市
2.95.34	2.95.34	山东省临沂市沂南县
2.95.35	2.95.37	山东省临沂市
2.95.38	2.95.38	山东省临沂市沂南县
2.95.39	2.95.65	山东省临沂市
2.95.66	2.95.66	山东省临沂市沂南县
2.95.67	2.95.149	山东省临沂市
2.95.150	2.95.150	山东省临沂市沂南县
2.95.151	2.97.25	山东省临沂市
2.97.26	2.97.26	山东省临沂市沂南县
2.97.27	2.97.*	山东省临沂市
2.98.0	2.98.19	山东省临沂市莒南县
2.98.20	2.98.27	山东省临沂市
2.98.28	2.98.31	山东省临沂市莒南县
2.98.32	2.98.39	山东省临沂市
2.98.40	2.98.43	山东省临沂市莒南县
2.98.44	2.98.55	山东省临沂市
2.98.56	2.98.63	山东省临沂市莒南县
2.98.64	2.98.71	山东省临沂市
2.98.72	2.98.79	山东省临沂市莒南县
2.98.80	2.98.95	山东省临沂市
2.98.96	2.98.99	山东省临沂市莒南县
2.98.100	2.98.127	山东省临沂市
2.98.128	2.98.131	山东省临沂市莒南县
2.98.132	2.98.167	山东省临沂市
2.98.168	2.98.171	山东省临沂市莒南县
2.98.172	2.98.231	山东省临沂市
2.98.232	2.98.235	山东省临沂市莒南县
2.98.236	2.98.243	山东省临沂市
2.98.244	2.99.23	山东省临沂市莒南县
2.99.24	2.99.33	山东省临沂市
2.99.34	2.99.34	山东省临沂市莒南县
2.99.35	2.99.56	山东省临沂市
2.99.57	2.99.62	山东省临沂市莒南县
2.99.63	2.99.151	山东省临沂市
2.99.152	2.99.159	山东省临沂市莒南县
2.99.160	2.99.227	山东省临沂市
2.99.228	2.99.239	山东省临沂市莒南县
2.99.240	2.100.43	山东省临沂市
2.100.44	2.100.47	山东省临沂市莒南县
2.100.48	2.100.67	山东省临沂市
2.100.68	2.100.79	山东省临沂市莒南县
2.100.80	2.100.91	山东省临沂市
2.100.92	2.100.95	山东省临沂市莒南县
2.100.96	2.100.127	山东省临沂市
2.100.128	2.100.133	山东省临沂市莒南县
2.100.134	2.100.159	山东省临沂市
2.100.160	2.100.163	山东省临沂市莒南县
2.100.164	2.100.207	山东省临沂市
2.100.208	2.100.211	山东省临沂市莒南县
2.100.212	2.111.*	山东省临沂市
2.112.0	2.127.*	山东省莱芜市
2.128.0	2.128.*	山东省济宁市
2.129.0	2.131.*	山东省
2.132.0	2.145.109	山东省威海市
2.145.110	2.145.110	山东省威海是红线休闲网吧
2.145.111	2.160.87	山东省威海市
2.160.88	2.160.88	山东大学
2.160.89	2.160.199	山东省威海市
2.160.200	2.160.200	山东大学
2.160.201	2.160.207	山东省威海市
2.160.208	2.160.208	山东大学
2.160.209	2.162.132	山东省威海市
2.162.133	2.162.133	山东大学
2.162.134	2.175.*	山东省威海市
2.176.0	2.184.*	山东省滨州市
2.185.0	2.185.*	山东省滨州市博兴县
2.186.0	2.191.*	山东省滨州市
2.192.0	2.193.*	山东省
2.194.0	2.194.13	山东省聊城市
2.194.14	2.194.14	江苏省无锡市
2.194.15	2.211.49	山东省聊城市
2.211.50	2.211.50	山东省聊城市临清市
2.211.51	2.223.*	山东省聊城市
2.224.0	2.*.*	山东省东营市
3.0.0	3.55.176	山东省青岛市
3.55.177	3.55.177	山东省青岛市开发区
3.55.178	3.127.*	山东省青岛市
3.128.0	3.150.172	云南省昆明市
3.150.173	3.157.*	云南省楚雄州
3.158.0	3.159.*	云南省
3.160.0	3.167.*	云南省普洱市
3.168.0	3.171.*	云南省
3.172.0	3.172.169	云南省临沧地区
3.172.170	3.172.170	云南省临沧市
3.172.171	3.174.*	云南省临沧地区
3.175.0	3.175.*	云南省昆明市
3.176.0	3.177.37	云南省德宏洲
3.177.38	3.177.38	云南省保山市
3.177.39	3.177.39	云南省德宏洲
3.177.40	3.177.40	云南省保山市
3.177.41	3.186.*	云南省德宏洲
3.187.0	3.189.108	云南省德宏州
3.189.109	3.189.109	云南省德宏洲瑞丽市
3.189.110	3.190.*	云南省德宏洲
3.191.0	3.191.*	云南省
3.192.0	3.195.*	云南省大理州大理市
3.196.0	3.197.*	云南省
3.198.0	3.206.*	云南省昆明市
3.207.0	3.207.*	云南省丽江市
3.208.0	3.208.153	云南省昆明市
3.208.154	3.208.154	云南省红河州个旧市
3.208.155	3.208.*	云南省昆明市
3.209.0	3.210.*	云南省开远市
3.211.0	3.215.*	云南省昆明市
3.216.0	3.217.*	云南省文山州
3.218.0	3.218.*	云南省红河州
3.219.0	3.223.*	云南省文山州
3.224.0	3.224.0	云南省昆明市
3.224.1	3.231.*	云南省玉溪市
3.232.0	3.234.*	云南省昆明市
3.235.0	3.239.*	云南省曲靖市
3.240.0	3.247.*	云南省昭通市
3.248.0	3.*.*	云南省昆明市
4.0.0	4.1.*	广东省广州市
4.2.0	4.2.*	广东省惠州市
4.3.0	4.16.*	广东省广州市
4.17.0	4.17.*	广东省东莞市
4.18.0	4.36.*	广东省广州市
4.37.0	4.37.124	广东省广州市天河区
4.37.125	4.37.125	广东省广州市
4.37.126	4.37.*	广东省广州市天河区
4.38.0	4.38.*	广东省广州市
4.39.0	4.39.*	广东省广州市天河区
4.40.0	4.55.*	广东省广州市
4.56.0	4.56.*	广东省广州市越秀区
4.57.0	4.95.*	广东省广州市
4.96.0	4.127.*	广东省深圳市
4.128.0	4.141.*	广东省东莞市
4.142.0	4.143.*	广东省
4.144.0	4.145.*	广东省云浮市
4.146.0	4.147.*	广东省佛山市
4.148.0	4.148.*	广东省佛山市南海区
4.149.0	4.149.129	广东省佛山市
4.149.130	4.149.156	广东省佛山市南海区
4.149.157	4.149.209	广东省佛山市
4.149.210	4.149.213	广东省佛山市禅城区
4.149.214	4.149.217	广东省佛山市
4.149.218	4.149.218	广东省佛山市南海区
4.149.219	4.149.*	广东省佛山市
4.150.0	4.156.*	广东省佛山市南海区
4.157.0	4.157.*	广东省佛山市
4.158.0	4.178.*	广东省
4.179.0	4.188.*	广东省江门市
4.189.0	4.189.*	广东省佛山市
4.190.0	4.191.*	广东省江门市
4.192.0	4.207.*	广东省中山市
4.208.0	4.222.*	广东省珠海市
4.223.0	4.240.*	广东省惠州市
4.241.0	4.*.*	广东省湛江市
5.0.0	5.29.*	广东省汕头市
5.30.0	5.47.*	广东省茂名市
5.48.0	5.55.*	广东省阳江市
5.56.0	5.56.*	广东省韶关市
5.57.0	5.57.*	广东省汕头市
5.58.0	5.63.*	广东省韶关市
5.64.0	5.66.*	广东省肇庆市
5.67.0	5.67.*	广东省惠州市
5.68.0	5.71.*	广东省肇庆市
5.72.0	5.72.138	广东省惠州市
5.72.139	5.72.142	广东省梅州市
5.72.143	5.72.*	广东省惠州市
5.73.0	5.76.*	广东省梅州市
5.77.0	5.79.*	广东省惠州市
5.80.0	5.85.*	广东省肇庆市
5.86.0	5.86.*	广东省广州市
5.87.0	5.95.*	广东省肇庆市
5.96.0	5.111.*	广东省湛江市
5.112.0	5.121.*	广东省中山市
5.122.0	5.122.*	广东省揭阳市
5.123.0	5.127.*	广东省中山市
5.128.0	5.136.37	重庆市
5.136.38	5.136.38	重庆市九龙坡区
5.136.39	5.136.57	重庆市
5.136.58	5.136.58	重庆市石桥铺区
5.136.59	5.136.138	重庆市
5.136.139	5.136.139	重庆市沙坪坝区陈家湾
5.136.140	5.136.193	重庆市
5.136.194	5.136.194	重庆市大渡口区
5.136.195	5.136.233	重庆市
5.136.234	5.136.234	重庆市大渡口区
5.136.235	5.138.*	重庆市
5.139.0	5.140.*	重庆市壁山县
5.141.0	5.141.*	重庆市九龙坡区
5.142.0	5.142.*	重庆市渝北区
5.143.0	5.143.*	重庆市渝中区
5.144.0	5.144.*	重庆市
5.145.0	5.145.*	重庆市江北区
5.146.0	5.149.118	重庆市
5.149.119	5.149.119	重庆市奉节县
5.149.120	5.149.140	重庆市
5.149.141	5.149.141	重庆市奉节县
5.149.142	5.153.*	重庆市
5.154.0	5.154.*	重庆市北碚区
5.155.0	5.155.*	重庆市沙坪坝区
5.156.0	5.156.*	重庆市涪陵区
5.157.0	5.157.*	重庆市
5.158.0	5.159.*	重庆市北碚区
5.160.0	5.168.245	重庆市
5.168.246	5.168.246	重庆市渝中区
5.168.247	5.168.*	重庆市
5.169.0	5.169.*	重庆市永川区
5.170.0	5.170.*	重庆市
5.171.0	5.171.*	重庆市涪陵区
5.172.0	5.173.*	重庆市
5.174.0	5.174.*	重庆市渝中区
5.175.0	5.175.*	重庆市
5.176.0	5.182.31	重庆市沙坪坝区
5.182.32	5.182.32	重庆市
5.182.33	5.183.*	重庆市沙坪坝区
5.184.0	5.184.121	重庆市
5.184.122	5.184.122	重庆市沙坪坝区
5.184.123	5.192.*	重庆市
5.193.0	5.194.*	重庆市南岸区
5.195.0	5.196.*	重庆市
5.197.0	5.197.*	重庆市江津区
5.198.0	5.199.*	重庆市
5.200.0	5.200.33	重庆市南岸区
5.200.34	5.200.34	重庆市
5.200.35	5.200.*	重庆市南岸区
5.201.0	5.201.*	重庆市垫江县
5.202.0	5.203.*	重庆市
5.204.0	5.205.*	重庆市巴南区
5.206.0	5.206.*	重庆市永川区
5.207.0	5.209.*	重庆市巴南区
5.210.0	5.210.*	重庆市永川区
5.211.0	5.211.*	重庆市
5.212.0	5.212.42	重庆市南川区
5.212.43	5.212.43	重庆市杨家坪
5.212.44	5.212.*	重庆市南川区
5.213.0	5.214.130	重庆市
5.214.131	5.214.131	重庆市万盛区
5.214.132	5.219.*	重庆市
5.220.0	5.220.*	重庆市九龙坡区
5.221.0	5.225.*	重庆市
5.226.0	5.227.*	重庆市涪陵区
5.228.0	5.230.*	重庆市
5.231.0	5.234.*	重庆市万州区
5.235.0	5.235.16	重庆市
5.235.17	5.235.17	重庆市忠县
5.235.18	5.235.29	重庆市
5.235.30	5.235.30	重庆市忠县
5.235.31	5.236.17	重庆市
5.236.18	5.236.18	重庆市万州区
5.236.19	5.236.*	重庆市
5.237.0	5.239.*	重庆市万州区
5.240.0	5.*.*	重庆市
6.0.0	6.7.171	江苏省南京市
6.7.172	6.7.172	江苏省宿迁市
6.7.173	6.47.*	江苏省南京市
6.48.0	6.48.*	江苏省镇江市
6.49.0	6.49.31	江苏省镇江市丹阳市
6.49.32	6.49.63	江苏省镇江市
6.49.64	6.49.*	江苏省镇江市丹阳市
6.50.0	6.55.*	江苏省镇江市
6.56.0	6.61.*	江苏省南京市
6.62.0	6.63.*	江苏省镇江市
6.64.0	6.75.*	江苏省苏州市
6.76.0	6.76.*	江苏省苏州市常熟市
6.77.0	6.85.136	江苏省苏州市
6.85.137	6.85.138	江苏省苏州市昆山市
6.85.139	6.85.139	江苏省苏州市
6.85.140	6.85.140	江苏省苏州市昆山市
6.85.141	6.85.175	江苏省苏州市
6.85.176	6.85.176	江苏省苏州市昆山市
6.85.177	6.95.*	江苏省苏州市
6.96.0	6.127.*	江苏省无锡市
6.128.0	6.130.65	江苏省常州市
6.130.66	6.130.66	江苏省常州市钟楼区
6.130.67	6.140.33	江苏省常州市
6.140.34	6.140.34	江苏省常州市金坛市
6.140.35	6.143.*	江苏省常州市
6.144.0	6.145.253	江苏省镇江市
6.145.254	6.145.*	江苏省
6.146.0	6.147.58	江苏省镇江市
6.147.59	6.147.59	江苏省镇江市丹徒区
6.147.60	6.151.241	江苏省镇江市
6.151.242	6.151.242	江苏省镇江市句容市
6.151.243	6.155.128	江苏省镇江市
6.155.129	6.155.138	江苏省镇江市句容市
6.155.139	6.155.139	江苏省镇江市
6.155.140	6.155.140	江苏省镇江市句容市
6.155.141	6.159.140	江苏省镇江市
6.159.141	6.159.141	江苏省镇江市句容市
6.159.142	6.159.*	江苏省镇江市
6.160.0	6.164.*	江苏省扬州市
6.165.0	6.166.*	江苏省扬州市仪征市
6.167.0	6.167.*	江苏省扬州市江都市
6.168.0	6.171.*	江苏省扬州市
6.172.0	6.172.*	江苏省常州市
6.173.0	6.175.*	江苏省盐城市
6.176.0	6.177.*	江苏省
6.178.0	6.189.*	江苏省泰州市
6.190.0	6.190.*	江苏省常州市
6.191.0	6.191.*	江苏省盐城市
6.192.0	6.202.*	江苏省南通市
6.203.0	6.207.*	江苏省南京市
6.208.0	6.215.137	江苏省徐州市
6.215.138	6.215.138	江苏省徐州市邳州市
6.215.139	6.215.233	江苏省徐州市
6.215.234	6.215.234	江苏省徐州市邳州市
6.215.235	6.223.*	江苏省徐州市
6.224.0	6.231.*	江苏省淮安市
6.232.0	6.239.*	江苏省盐城市
6.240.0	6.245.188	江苏省连云港市
6.245.189	6.245.189	江苏省连云港市新浦区
6.245.190	6.247.*	江苏省连云港市
