
5.0.0	5.*.*	菲律宾
36.194.0	36.198.*	天津市滨海新区
36.199.0	36.228.*	天津市
36.229.0	36.247.*	天津市南开区
36.248.0	37.7.*	天津市
37.8.0	37.8.*	天津市滨海新区
37.9.0	37.9.*	天津市
37.10.0	37.10.*	天津市滨海新区
37.11.0	37.15.*	天津市塘沽区
37.16.0	37.16.*	天津市滨海新区
37.17.0	37.31.*	天津市
37.32.0	37.47.*	天津市河东区
37.48.0	37.55.*	天津市
37.56.0	37.72.*	天津市河西区
37.73.0	37.173.*	天津市
37.174.0	37.174.*	天津市和平区
37.175.0	37.175.*	天津市河西区
37.176.0	37.191.*	天津市
37.192.0	37.192.*	天津市宁河县
37.193.0	37.193.*	天津市
37.194.0	37.194.*	天津市滨海新区
37.195.0	37.218.*	天津市
37.219.0	37.219.*	天津市南开区
37.220.0	37.230.*	天津市
37.231.0	37.239.*	天津市南开区
37.240.0	37.249.*	天津市
37.250.0	37.250.*	天津市滨海新区
37.251.0	38.207.*	天津市
38.208.0	38.209.*	天津市南开区
38.210.0	38.*.*	天津市
39.0.0	39.0.*	湖南省
39.1.0	39.33.*	天津市
39.34.0	39.39.*	北京市
39.40.0	39.107.*	天津市
39.108.0	39.109.*	北京市
39.110.0	39.110.*	河北省唐山市
39.111.0	39.112.*	北京市
39.113.0	39.113.*	山东省临沂市
39.114.0	39.117.*	北京市
39.118.0	39.130.*	天津市
39.131.0	39.131.*	辽宁省沈阳市
39.132.0	39.132.*	北京市
39.133.0	39.137.*	天津市
39.138.0	39.139.*	黑龙江省哈尔滨市
39.140.0	39.140.*	山东省济宁市
39.141.0	39.141.*	天津市
39.142.0	39.154.*	北京市
39.155.0	39.155.*	天津市
39.156.0	39.161.*	北京市
39.162.0	39.162.*	吉林省长春市
39.163.0	39.191.*	北京市
39.192.0	39.*.*	天津市
40.0.0	40.107.*	河南省郑州市
40.108.0	40.167.*	河南省洛阳市
40.168.0	40.177.*	河南省新乡市
40.178.0	40.178.*	河南省许昌市
40.179.0	40.202.*	河南省新乡市
40.203.0	40.207.*	河南省洛阳市
40.208.0	40.231.*	河南省濮阳市
40.232.0	40.235.*	河南省济源市
40.236.0	40.*.*	河南省洛阳市
41.0.0	41.7.*	河南省郑州市
41.8.0	41.8.*	河南省新密市
41.9.0	41.43.*	河南省郑州市
41.44.0	41.44.*	河南省洛阳市
41.45.0	41.45.*	河南省荥阳市
41.46.0	41.*.*	河南省郑州市
42.0.0	42.63.*	河南省安阳市
42.64.0	42.82.*	河南省周口市
42.83.0	42.83.*	河南省漯河市
42.84.0	42.95.*	河南省周口市
42.96.0	42.96.*	河南省郑州市巩义市
42.97.0	42.99.*	河南省洛阳市
42.100.0	42.103.*	河南省郑州市
42.104.0	42.104.*	河南省洛阳市
42.105.0	42.105.*	河南省登封市
42.106.0	42.107.*	河南省洛阳市
42.108.0	42.108.*	河南省郑州市
42.109.0	42.111.*	河南省洛阳市
42.112.0	42.191.*	河南省新乡市
42.192.0	42.223.*	河南省信阳市
42.224.0	42.229.14	河南省驻马店市
42.229.15	42.229.15	河南省驻马店市西平县
42.229.16	42.229.229	河南省驻马店市
42.229.230	42.229.230	河南省驻马店市西平县
42.229.231	42.231.99	河南省驻马店市
42.231.100	42.231.100	河南省驻马店市汝南县
42.231.101	42.233.8	河南省驻马店市
42.233.9	42.233.10	河南省驻马店市遂平县
42.233.11	42.233.99	河南省驻马店市
42.233.100	42.233.100	河南省驻马店市遂平县
42.233.101	42.233.143	河南省驻马店市
42.233.144	42.233.145	河南省驻马店市遂平县
42.233.146	42.233.146	河南省驻马店市
42.233.147	42.233.147	河南省驻马店市遂平县
42.233.148	42.233.200	河南省驻马店市
42.233.201	42.233.201	河南省驻马店市遂平县
42.233.202	42.234.*	河南省驻马店市
42.235.0	42.249.*	河南省洛阳市
42.250.0	42.250.*	河南省新乡市
42.251.0	43.84.133	河南省洛阳市
43.84.134	43.84.134	河南省洛阳市西工区
43.84.135	43.84.249	河南省洛阳市
43.84.250	43.84.250	河南省洛阳市西工区
43.84.251	43.85.125	河南省洛阳市
43.85.126	43.85.126	河南省洛阳市西工区
43.85.127	43.127.*	河南省洛阳市
43.128.0	43.216.*	河南省焦作市
43.217.0	43.223.*	河南省
43.224.0	43.232.*	河南省洛阳市
43.233.0	43.234.*	河南省许昌市
43.235.0	43.235.*	河南省焦作市
43.236.0	43.240.139	河南省许昌市
43.240.140	43.240.140	河南省长葛市
43.240.141	43.242.*	河南省许昌市
43.243.0	43.*.*	河南省焦作市
44.0.0	44.44.*	河南省开封市
44.45.0	44.62.*	河南省
44.63.0	44.63.*	河南省洛阳市
44.64.0	44.121.*	河南省漯河市
44.122.0	44.122.*	河南省南阳市
44.123.0	44.127.*	河南省漯河市
44.128.0	44.175.*	河南省南阳市
44.176.0	44.178.*	河南省郑州市
44.179.0	44.191.*	河南省
44.192.0	44.223.*	河南省信阳市
44.224.0	44.233.*	河南省三门峡市
44.234.0	44.244.*	河南省信阳市
44.245.0	44.*.*	河南省三门峡市
45.0.0	45.19.*	河南省安阳市
45.20.0	45.23.*	河南省
45.24.0	45.47.*	河南省焦作市
45.48.0	45.63.*	河南省鹤壁市
45.64.0	45.79.*	河南省开封市
45.80.0	45.95.*	河南省漯河市
45.96.0	45.127.*	河南省南阳市
45.128.0	45.128.*	河南省郑州市
45.129.0	45.143.*	河南省周口市
45.144.0	45.159.*	河南省信阳市
45.160.0	45.175.*	河南省商丘市
45.176.0	45.191.*	河南省三门峡市
45.192.0	45.205.*	河南省平顶山市
45.206.0	45.207.*	河南省
45.208.0	45.223.*	河南省驻马店市
45.224.0	45.239.*	河南省许昌市
45.240.0	45.*.*	河南省安阳市
46.0.0	46.1.*	河南省济源市
46.2.0	46.2.3	河南省驻马店市
46.2.4	46.2.7	河南省驻马店市泌阳县
46.2.8	46.2.45	河南省驻马店市
46.2.46	46.2.46	河南省驻马店市上蔡县
46.2.47	46.2.49	河南省驻马店市
46.2.50	46.2.50	河南省驻马店市西平县
46.2.51	46.2.53	河南省驻马店市
46.2.54	46.2.54	河南省驻马店市泌阳县
46.2.55	46.2.65	河南省驻马店市
46.2.66	46.2.66	河南省驻马店市泌阳县
46.2.67	46.2.69	河南省驻马店市
46.2.70	46.2.70	河南省驻马店市泌阳县
46.2.71	46.2.71	河南省驻马店市
46.2.72	46.2.75	河南省驻马店市泌阳县
46.2.76	46.2.77	河南省驻马店市
46.2.78	46.2.78	河南省驻马店市泌阳县
46.2.79	46.2.81	河南省驻马店市
46.2.82	46.2.82	河南省驻马店市泌阳县
46.2.83	46.2.99	河南省驻马店市
46.2.100	46.2.103	河南省驻马店市泌阳县
46.2.104	46.2.149	河南省驻马店市
46.2.150	46.2.150	河南省驻马店市上蔡县
46.2.151	46.2.157	河南省驻马店市
46.2.158	46.2.158	河南省驻马店市上蔡县
46.2.159	46.2.163	河南省驻马店市
46.2.164	46.2.164	河南省驻马店市上蔡县
46.2.165	46.2.189	河南省驻马店市
46.2.190	46.2.190	河南省驻马店市上蔡县
46.2.191	46.2.209	河南省驻马店市
46.2.210	46.2.210	河南省驻马店市上蔡县
46.2.211	46.2.*	河南省驻马店市
46.3.0	46.3.7	河南省平顶山市
46.3.8	46.3.15	河南省平顶山市宝丰县
46.3.16	46.3.23	河南省平顶山市
46.3.24	46.3.27	河南省平顶山市舞钢市
46.3.28	46.3.39	河南省平顶山市
46.3.40	46.3.47	河南省平顶山市郏县
46.3.48	46.3.63	河南省平顶山市
46.3.64	46.3.67	河南省平顶山市郏县
46.3.68	46.3.79	河南省平顶山市
46.3.80	46.3.87	河南省平顶山市宝丰县
46.3.88	46.3.91	河南省平顶山市舞钢市
46.3.92	46.3.107	河南省平顶山市郏县
46.3.108	46.3.115	河南省平顶山市
46.3.116	46.3.127	河南省平顶山市郏县
46.3.128	46.3.*	河南省平顶山市
46.4.0	46.4.*	河南省南阳市
46.5.0	46.5.*	河南省焦作市
46.6.0	46.6.*	河南省三门峡市
46.7.0	46.7.*	河南省义马市
46.8.0	46.9.97	河南省三门峡市
46.9.98	46.9.98	河南省
46.9.99	46.9.*	河南省三门峡市
46.10.0	46.10.*	河南省平顶山市
46.11.0	46.11.*	河南省郑州市
46.12.0	46.12.*	河南省焦作市
46.13.0	46.13.*	河南省郑州市
46.14.0	46.14.3	河南省平顶山市宝丰县
46.14.4	46.14.7	河南省平顶山市
46.14.8	46.14.15	河南省平顶山市宝丰县
46.14.16	46.14.31	河南省平顶山市郏县
46.14.32	46.14.47	河南省平顶山市
46.14.48	46.14.63	河南省平顶山市舞钢市
46.14.64	46.14.79	河南省平顶山市
46.14.80	46.14.95	河南省平顶山市汝州市
46.14.96	46.14.111	河南省平顶山市郏县
46.14.112	46.14.115	河南省平顶山市
46.14.116	46.14.127	河南省平顶山市汝州市
46.14.128	46.14.143	河南省平顶山市郏县
46.14.144	46.14.175	河南省平顶山市汝州市
46.14.176	46.14.191	河南省平顶山市
46.14.192	46.14.207	河南省平顶山市宝丰县
46.14.208	46.14.219	河南省平顶山市郏县
46.14.220	46.14.223	河南省平顶山市
46.14.224	46.14.239	河南省平顶山市舞钢市
46.14.240	46.14.*	河南省平顶山市汝州市
46.15.0	46.16.57	河南省郑州市
46.16.58	46.16.58	河南省郑州市巩义市
46.16.59	46.16.81	河南省郑州市
46.16.82	46.16.82	河南省郑州市巩义市
46.16.83	46.16.229	河南省郑州市
46.16.230	46.16.230	河南省郑州市巩义市
46.16.231	46.18.17	河南省郑州市
46.18.18	46.18.18	河南省新郑市
46.18.19	46.18.209	河南省郑州市
46.18.210	46.18.211	河南省新郑市
46.18.212	46.31.161	河南省郑州市
46.31.162	46.31.162	中国
46.31.163	46.37.*	河南省郑州市
46.38.0	46.38.191	河南省平顶山市
46.38.192	46.38.203	河南省平顶山市宝丰县
46.38.204	46.38.*	河南省平顶山市
46.39.0	46.42.*	河南省许昌市
46.43.0	46.46.*	河南省三门峡市
46.47.0	46.47.*	河南省郑州市
46.48.0	46.48.*	河南省焦作市
46.49.0	46.49.*	河南省漯河市
46.50.0	46.50.*	河南省郑州市
46.51.0	46.51.*	河南省平顶山市
46.52.0	46.54.*	河南省濮阳市
46.55.0	46.55.*	河南省郑州市
46.56.0	46.56.*	河南省平顶山市
46.57.0	46.63.*	河南省郑州市
46.64.0	46.69.5	河南省驻马店市
46.69.6	46.69.6	河南省驻马店市确山县
46.69.7	46.69.9	河南省驻马店市
46.69.10	46.69.10	河南省驻马店市确山县
46.69.11	46.69.13	河南省驻马店市
46.69.14	46.69.14	河南省驻马店市新蔡县
46.69.15	46.69.17	河南省驻马店市
46.69.18	46.69.18	河南省驻马店市泌阳县
46.69.19	46.69.109	河南省驻马店市
46.69.110	46.69.110	河南省驻马店市遂平县
46.69.111	46.69.249	河南省驻马店市
46.69.250	46.69.250	河南省驻马店市泌阳县
46.69.251	46.70.*	河南省驻马店市
46.71.0	46.71.13	河南省焦作市
46.71.14	46.71.14	河南省濮阳市
46.71.15	46.72.*	河南省焦作市
46.73.0	46.80.5	河南省郑州市
46.80.6	46.80.6	河南省新郑市
46.80.7	46.91.165	河南省郑州市
46.91.166	46.91.166	河南省新郑市
46.91.167	46.92.*	河南省郑州市
46.93.0	46.93.63	河南省平顶山市郏县
46.93.64	46.93.71	河南省平顶山市舞钢市
46.93.72	46.93.73	河南省平顶山市
46.93.74	46.93.74	河南省平顶山市舞钢市
46.93.75	46.93.75	河南省平顶山市
46.93.76	46.93.79	河南省平顶山市舞钢市
46.93.80	46.93.115	河南省平顶山市
46.93.116	46.93.119	河南省平顶山市汝州市
46.93.120	46.93.123	河南省平顶山市
46.93.124	46.93.127	河南省平顶山市汝州市
46.93.128	46.93.163	河南省平顶山市
46.93.164	46.93.167	河南省平顶山市汝州市
46.93.168	46.93.195	河南省平顶山市
46.93.196	46.93.203	河南省平顶山市汝州市
46.93.204	46.93.*	河南省平顶山市
46.94.0	46.94.1	河南省郑州市
46.94.2	46.94.2	河南省项城市
46.94.3	46.94.5	河南省郑州市
46.94.6	46.94.6	河南省项城市
46.94.7	46.94.7	河南省郑州市
46.94.8	46.94.9	河南省项城市
46.94.10	46.94.10	河南省郑州市
46.94.11	46.94.11	河南省项城市
46.94.12	46.94.13	河南省郑州市
46.94.14	46.94.14	河南省项城市
46.94.15	46.94.15	河南省郑州市
46.94.16	46.94.17	河南省项城市
46.94.18	46.94.22	河南省周口市
46.94.23	46.94.23	河南省项城市
46.94.24	46.94.*	河南省周口市
46.95.0	46.95.*	河南省开封市
46.96.0	46.97.*	河南省郑州市
46.98.0	46.103.*	河南省三门峡市
46.104.0	46.110.*	河南省郑州市
46.111.0	46.111.127	河南省平顶山市
46.111.128	46.111.147	河南省平顶山市舞钢市
46.111.148	46.111.*	河南省平顶山市
46.112.0	47.127.*	河南省郑州市
47.128.0	47.131.*	河南省平顶山市
47.132.0	47.178.*	河南省郑州市
47.179.0	47.179.*	河南省平顶山市
47.180.0	47.181.*	河南省郑州市
47.182.0	47.182.*	河南省郑州市巩义市
47.183.0	47.239.*	河南省郑州市
47.240.0	47.243.*	河南省
47.244.0	47.244.*	河南省开封市
47.245.0	47.*.*	河南省
48.0.0	56.127.*	日本
56.128.0	56.*.*	新加坡
57.0.0	57.*.*	韩国
58.0.0	58.63.*	亚太地区
58.64.0	58.127.*	日本
58.128.0	58.*.*	黑龙江省大庆市
59.0.0	59.*.*	香港
60.0.0	60.127.*	韩国
60.128.0	60.*.*	菲律宾
61.0.0	61.127.*	韩国
61.128.0	61.*.*	北京市
62.0.0	62.47.244	重庆市
62.47.245	62.47.245	重庆市南岸区
62.47.246	62.63.*	重庆市
62.64.0	62.95.*	澳大利亚
62.96.0	62.215.*	印度
62.216.0	62.223.*	亚太地区
62.224.0	62.239.*	台湾省
62.240.0	62.*.*	日本
63.0.0	63.31.*	澳大利亚
63.32.0	63.47.*	日本
63.48.0	63.63.*	亚太地区
63.64.0	63.127.*	印度
63.128.0	63.*.*	澳大利亚
64.0.0	64.0.*	四川省德阳市
64.1.0	64.3.*	四川省绵阳市
64.4.0	64.4.*	四川省成都市
64.5.0	64.15.*	四川省绵阳市
64.16.0	64.16.*	四川省成都市
64.17.0	64.40.*	四川省绵阳市
64.41.0	64.43.*	四川省
64.44.0	64.69.*	四川省广元市
64.70.0	64.73.*	四川省达州市
64.74.0	64.74.*	四川省德阳市广汉市
64.75.0	64.76.6	四川省德阳市
64.76.7	64.76.9	四川省德阳市什邡市
64.76.10	64.76.10	四川省德阳市
64.76.11	64.76.18	四川省德阳市什邡市
64.76.19	64.76.19	四川省德阳市
64.76.20	64.76.23	四川省德阳市什邡市
64.76.24	64.76.24	四川省德阳市
64.76.25	64.76.28	四川省德阳市什邡市
64.76.29	64.76.29	四川省德阳市
64.76.30	64.76.35	四川省德阳市什邡市
64.76.36	64.76.36	四川省德阳市
64.76.37	64.76.40	四川省德阳市什邡市
64.76.41	64.76.55	四川省德阳市
64.76.56	64.76.57	四川省德阳市什邡市
64.76.58	64.76.75	四川省德阳市
64.76.76	64.76.76	四川省德阳市什邡市
64.76.77	64.76.84	四川省德阳市
64.76.85	64.76.85	四川省德阳市什邡市
64.76.86	64.76.87	四川省德阳市
64.76.88	64.76.88	四川省德阳市什邡市
64.76.89	64.76.146	四川省德阳市
64.76.147	64.76.147	四川省德阳市什邡市
64.76.148	64.78.2	四川省德阳市
64.78.3	64.78.5	四川省德阳市绵竹市
64.78.6	64.78.6	四川省德阳市
64.78.7	64.78.8	四川省德阳市绵竹市
64.78.9	64.78.17	四川省德阳市
64.78.18	64.78.18	四川省德阳市绵竹市
64.78.19	64.78.22	四川省德阳市
64.78.23	64.78.23	四川省德阳市绵竹市
64.78.24	64.78.26	四川省德阳市
64.78.27	64.78.27	四川省德阳市绵竹市
64.78.28	64.78.32	四川省德阳市
64.78.33	64.78.34	四川省德阳市绵竹市
64.78.35	64.78.43	四川省德阳市
64.78.44	64.78.44	四川省德阳市绵竹市
64.78.45	64.80.6	四川省德阳市
64.80.7	64.80.31	四川省德阳市中江县
64.80.32	64.80.32	四川省德阳市
64.80.33	64.82.10	四川省德阳市中江县
64.82.11	64.82.11	四川省德阳市
64.82.12	64.82.17	四川省德阳市中江县
64.82.18	64.82.20	四川省德阳市
64.82.21	64.82.23	四川省德阳市中江县
64.82.24	64.82.25	四川省德阳市
64.82.26	64.82.28	四川省德阳市中江县
64.82.29	64.82.29	四川省德阳市
64.82.30	64.82.38	四川省德阳市中江县
64.82.39	64.82.89	四川省德阳市
64.82.90	64.82.90	四川省德阳市中江县
64.82.91	64.88.30	四川省德阳市
64.88.31	64.88.31	四川省南充市
64.88.32	64.120.*	四川省德阳市
64.121.0	64.121.*	四川省成都市
64.122.0	64.159.*	四川省德阳市
64.160.0	64.228.6	四川省宜宾市
64.228.7	64.228.7	四川省宜宾市江安县
64.228.8	64.228.24	四川省宜宾市
64.228.25	64.228.25	四川省宜宾市江安县
64.228.26	64.*.*	四川省宜宾市
65.0.0	65.35.*	四川省乐山市
65.36.0	65.39.*	四川省成都市
65.40.0	65.127.*	四川省绵阳市
65.128.0	65.159.*	四川省泸州市
65.160.0	65.191.*	四川省眉山市
65.192.0	65.244.33	四川省内江市
65.244.34	65.244.34	四川省内江市资中县
65.244.35	65.244.57	四川省内江市
65.244.58	65.244.58	四川省内江市资中县
65.244.59	65.*.*	四川省内江市
66.0.0	66.63.*	四川省广安市
66.64.0	66.122.*	四川省南充市
66.123.0	66.127.*	四川省成都市
66.128.0	66.128.31	四川省自贡市
66.128.32	66.128.32	四川省自贡市荣县
66.128.33	66.128.81	四川省自贡市
66.128.82	66.128.82	四川省自贡市荣县
66.128.83	66.130.144	四川省自贡市
66.130.145	66.130.145	四川省自贡市大安区
66.130.146	66.139.92	四川省自贡市
66.139.93	66.139.93	四川省自贡市仲权镇
66.139.94	66.140.1	四川省自贡市
66.140.2	66.140.7	四川省自贡市牛佛镇
66.140.8	66.144.10	四川省自贡市
66.144.11	66.144.11	四川省自贡市双石镇
66.144.12	66.144.13	四川省自贡市
66.144.14	66.144.14	四川省自贡市龙潭镇
66.144.15	66.144.91	四川省自贡市
66.144.92	66.144.92	四川省自贡市成佳镇
66.144.93	66.144.199	四川省自贡市
66.144.200	66.144.200	四川省自贡市龙潭镇
66.144.201	66.145.84	四川省自贡市
66.145.85	66.145.85	四川省自贡市荣县
66.145.86	66.145.158	四川省自贡市
66.145.159	66.145.159	四川省自贡市双石镇
66.145.160	66.146.16	四川省自贡市
66.146.17	66.146.17	四川省自贡市双石镇
66.146.18	66.147.17	四川省自贡市
66.147.18	66.147.18	四川省自贡市荣县
66.147.19	66.147.200	四川省自贡市
66.147.201	66.147.201	四川省自贡市双石镇
66.147.202	66.148.157	四川省自贡市
66.148.158	66.148.158	四川省自贡市荣县
66.148.159	66.149.153	四川省自贡市
66.149.154	66.149.154	四川省自贡市成佳镇
66.149.155	66.188.219	四川省自贡市
66.188.220	66.188.220	四川省自贡市双石镇
66.188.221	66.191.*	四川省自贡市
66.192.0	66.*.*	四川省攀枝花市
67.0.0	67.15.*	四川省甘孜州
67.16.0	67.31.*	四川省成都市
67.32.0	67.32.61	四川省达州市
67.32.62	67.32.62	四川省达州市大竹县
67.32.63	67.32.70	四川省达州市
67.32.71	67.32.71	四川省达州市大竹县
67.32.72	67.32.101	四川省达州市
67.32.102	67.32.102	四川省达州市大竹县
67.32.103	67.32.103	四川省达州市
67.32.104	67.32.104	四川省达州市大竹县
67.32.105	67.32.126	四川省达州市
67.32.127	67.32.127	四川省达州市大竹县
67.32.128	67.32.131	四川省达州市
67.32.132	67.32.132	四川省达州市大竹县
67.32.133	67.63.3	四川省达州市
67.63.4	67.63.4	四川省达州市大竹县
67.63.5	67.63.12	四川省达州市
67.63.13	67.63.13	四川省达州市大竹县
67.63.14	67.63.81	四川省达州市
67.63.82	67.63.82	四川省达州市大竹县
67.63.83	67.63.88	四川省达州市
67.63.89	67.63.89	四川省达州市大竹县
67.63.90	67.63.*	四川省达州市
67.64.0	67.88.*	四川省遂宁市
67.89.0	67.90.*	四川省成都市
67.91.0	67.96.*	四川省遂宁市
67.97.0	67.103.*	四川省成都市
67.104.0	67.126.*	四川省阿坝州
67.127.0	67.127.*	四川省成都市
67.128.0	67.190.*	四川省绵阳市
67.191.0	67.191.*	四川省成都市
67.192.0	67.227.*	四川省雅安市
67.228.0	67.229.*	四川省资阳市
67.230.0	67.231.*	四川省成都市
67.232.0	67.*.*	四川省资阳市
68.0.0	68.7.*	四川省德阳市
68.8.0	68.8.*	四川省德阳市广汉市
68.9.0	68.13.*	四川省德阳市
68.14.0	68.15.*	四川省德阳市广汉市
68.16.0	68.23.*	四川省德阳市
68.24.0	68.24.*	四川省德阳市广汉市
68.25.0	68.30.*	四川省德阳市
68.31.0	68.32.*	四川省成都市
68.33.0	68.33.*	四川省西昌市
68.34.0	68.35.*	四川省成都市
68.36.0	68.38.*	四川省凉山州
68.39.0	68.55.*	四川省凉山州西昌市
68.56.0	68.63.*	四川省成都市
68.64.0	68.95.*	四川省德阳市
68.96.0	68.124.*	四川省乐山市
68.125.0	68.125.*	四川省成都市
68.126.0	68.159.*	四川省乐山市
68.160.0	68.191.*	四川省泸州市
68.192.0	68.211.*	四川省巴中市
68.212.0	68.*.*	四川省绵阳市
69.0.0	71.224.116	四川省成都市
71.224.117	71.224.117	四川省成都市金牛区
71.224.118	71.225.18	四川省成都市
71.225.19	71.225.19	四川省成都市崇州市
71.225.20	71.225.20	四川省成都市
71.225.21	71.225.21	四川省成都市崇州市
71.225.22	71.235.24	四川省成都市
71.235.25	71.235.27	四川省成都市彭州市
71.235.28	71.235.29	四川省成都市
71.235.30	71.235.30	四川省成都市彭州市
71.235.31	71.236.6	四川省成都市
71.236.7	71.236.7	四川省成都市温江区
71.236.8	71.236.45	四川省成都市
71.236.46	71.236.46	四川省成都市温江区
71.236.47	71.236.198	四川省成都市
71.236.199	71.236.199	四川省成都市温江区
71.236.200	71.236.210	四川省成都市
71.236.211	71.236.212	四川省成都市温江区
71.236.213	71.*.*	四川省成都市
72.0.0	72.127.*	青海省西宁市
72.128.0	72.136.*	青海省海南洲
72.137.0	72.151.*	青海省
72.152.0	72.155.93	青海省玉树州
