
0.0.0	0.7.*	澳大利亚
34.65.0	34.68.*	广东省深圳市宝安区
34.69.0	34.75.*	广东省深圳市
34.76.0	34.79.*	广东省深圳市宝安区
34.80.0	34.81.*	广东省深圳市
34.82.0	34.82.*	广东省深圳市宝安区
34.83.0	34.83.*	广东省深圳市
34.84.0	34.85.*	广东省深圳市宝安区
34.86.0	34.99.*	广东省深圳市
34.100.0	34.100.*	广东省深圳市龙岗区
34.101.0	34.101.*	广东省深圳市
34.102.0	34.102.*	广东省深圳市宝安区
34.103.0	34.119.43	广东省深圳市
34.119.44	34.119.44	广东省深圳市龙岗区
34.119.45	34.126.*	广东省深圳市
34.127.0	34.127.*	广东省深圳市龙岗区
34.128.0	34.143.*	广东省深圳市
34.144.0	34.146.*	广东省深圳市宝安区
34.147.0	34.147.*	广东省深圳市
34.148.0	34.148.*	广东省深圳市南山区
34.149.0	34.153.*	广东省深圳市
34.154.0	34.154.*	广东省深圳市南山区
34.155.0	34.161.*	广东省深圳市
34.162.0	34.162.*	广东省深圳市罗湖区
34.163.0	34.163.*	广东省深圳市
34.164.0	34.164.*	广东省深圳市盐田区
34.165.0	34.166.*	广东省深圳市
34.167.0	34.170.*	广东省深圳市福田区
34.171.0	34.171.*	广东省深圳市
34.172.0	34.172.*	广东省深圳市龙岗区
34.173.0	34.181.*	广东省深圳市
34.182.0	34.182.*	广东省深圳市宝安区
34.183.0	34.195.53	广东省深圳市
34.195.54	34.195.54	广东省深圳市宝安区
34.195.55	34.198.*	广东省深圳市
34.199.0	34.199.*	广东省深圳市福田区
34.200.0	34.211.*	广东省深圳市
34.212.0	34.213.*	广东省深圳市宝安区
34.214.0	34.215.117	广东省深圳市
34.215.118	34.215.118	广东省深圳市宝安区
34.215.119	34.220.*	广东省深圳市
34.221.0	34.222.*	广东省深圳市宝安区
34.223.0	34.223.*	广东省深圳市龙岗区
34.224.0	34.227.*	广东省深圳市宝安区
34.228.0	34.230.*	广东省深圳市
34.231.0	34.231.*	广东省深圳市龙岗区
34.232.0	34.249.64	广东省深圳市
34.249.65	34.249.65	广东省深圳市罗湖区
34.249.66	34.249.128	广东省深圳市
34.249.129	34.249.129	广东省深圳市罗湖区
34.249.130	34.249.*	广东省深圳市
34.250.0	34.250.52	广东省深圳市宝安区
34.250.53	34.250.53	广东省深圳市
34.250.54	34.250.218	广东省深圳市宝安区
34.250.219	34.250.219	广东省深圳市
34.250.220	34.251.145	广东省深圳市宝安区
34.251.146	34.251.146	广东省深圳市
34.251.147	34.251.*	广东省深圳市宝安区
34.252.0	34.*.25	广东省深圳市
34.*.26	34.*.26	广东省深圳市南山区
34.*.27	34.*.60	广东省深圳市
34.*.61	34.*.61	广东省深圳市福田区
34.*.62	34.*.104	广东省深圳市
34.*.105	34.*.105	广东省深圳市宝安区
34.*.106	34.*.113	广东省深圳市
34.*.114	34.*.114	广东省深圳市罗湖区
34.*.115	34.*.209	广东省深圳市
34.*.210	34.*.210	广东省深圳市龙岗区
34.*.211	34.*.*	广东省深圳市
35.0.0	35.0.*	广东省深圳市福田区
35.1.0	35.2.*	广东省深圳市
35.3.0	35.4.*	广东省深圳市宝安区
35.5.0	35.20.*	广东省深圳市
35.21.0	35.21.*	广东省深圳市罗湖区
35.22.0	35.23.*	广东省深圳市
35.24.0	35.24.*	广东省深圳市龙岗区
35.25.0	35.28.*	广东省深圳市
35.29.0	35.29.*	广东省深圳市龙岗区
35.30.0	35.35.*	广东省深圳市
35.36.0	35.38.*	广东省深圳市宝安区
35.39.0	35.43.*	广东省深圳市
35.44.0	35.44.*	广东省深圳市宝安区
35.45.0	35.45.*	广东省深圳市南山区
35.46.0	35.61.*	广东省深圳市
35.62.0	35.64.*	广东省深圳市龙岗区
35.65.0	35.65.*	广东省深圳市南山区
35.66.0	35.79.*	广东省深圳市龙岗区
35.80.0	35.85.2	广东省深圳市
35.85.3	35.85.3	广东省深圳市龙岗区
35.85.4	35.89.*	广东省深圳市
35.90.0	35.90.*	广东省深圳市南山区
35.91.0	35.92.*	广东省深圳市
35.93.0	35.93.*	广东省深圳市宝安区
35.94.0	35.96.*	广东省深圳市
35.97.0	35.102.*	广东省深圳市宝安区
35.103.0	35.112.*	广东省深圳市
35.113.0	35.117.*	广东省深圳市宝安区
35.118.0	35.141.*	广东省深圳市
35.142.0	35.144.*	广东省深圳市福田区
35.145.0	35.145.*	广东省深圳市龙岗区
35.146.0	35.146.*	广东省深圳市盐田区
35.147.0	35.147.*	广东省深圳市
35.148.0	35.151.*	广东省深圳市福田区
35.152.0	35.160.*	广东省深圳市
35.161.0	35.161.*	广东省深圳市福田区
35.162.0	35.162.*	广东省深圳市南山区
35.163.0	35.165.*	广东省深圳市
35.166.0	35.166.*	广东省深圳市罗湖区
35.167.0	35.167.*	广东省深圳市福田区
35.168.0	35.171.*	广东省深圳市
35.172.0	35.178.*	广东省深圳市罗湖区
35.179.0	35.182.*	广东省深圳市
35.183.0	35.183.*	广东省深圳市罗湖区
35.184.0	35.193.*	广东省深圳市
35.194.0	35.194.*	广东省深圳市龙岗区
35.195.0	35.199.*	广东省深圳市
35.200.0	35.200.*	广东省深圳市龙岗区
35.201.0	35.201.*	广东省深圳市宝安区
35.202.0	35.202.*	广东省深圳市龙岗区
35.203.0	35.209.*	广东省深圳市宝安区
35.210.0	35.214.*	广东省深圳市
35.215.0	35.216.*	广东省深圳市宝安区
35.217.0	35.219.*	广东省深圳市
35.220.0	35.220.*	广东省深圳市南山区
35.221.0	35.230.*	广东省深圳市
35.231.0	35.231.*	广东省深圳市福田区
35.232.0	35.239.*	广东省深圳市
35.240.0	35.240.3	广东省深圳市龙岗区
35.240.4	35.240.4	广东省深圳市
35.240.5	35.240.197	广东省深圳市龙岗区
35.240.198	35.240.198	广东省深圳市
35.240.199	35.240.*	广东省深圳市龙岗区
35.241.0	35.241.24	广东省深圳市
35.241.25	35.241.25	广东省深圳市宝安区
35.241.26	35.241.33	广东省深圳市
35.241.34	35.241.35	广东省深圳市宝安区
35.241.36	35.241.100	广东省深圳市
35.241.101	35.241.101	广东省深圳市宝安区
35.241.102	35.242.16	广东省深圳市
35.242.17	35.242.17	广东省深圳市南山区
35.242.18	35.243.8	广东省深圳市
35.243.9	35.243.9	广东省深圳市宝安区
35.243.10	35.243.144	广东省深圳市
35.243.145	35.243.145	广东省深圳市宝安区
35.243.146	35.244.8	广东省深圳市
35.244.9	35.244.9	广东省深圳市南山区
35.244.10	35.244.44	广东省深圳市
35.244.45	35.244.45	广东省深圳市南山区
35.244.46	35.245.80	广东省深圳市
35.245.81	35.245.81	广东省深圳市龙岗区
35.245.82	35.246.0	广东省深圳市
35.246.1	35.246.1	广东省深圳市龙岗区
35.246.2	35.250.34	广东省深圳市
35.250.35	35.250.35	广东省深圳市宝安区
35.250.36	35.250.40	广东省深圳市
35.250.41	35.250.41	广东省深圳市宝安区
35.250.42	35.250.76	广东省深圳市
35.250.77	35.250.77	广东省深圳市宝安区
35.250.78	35.250.115	广东省深圳市
35.250.116	35.250.116	广东省深圳市宝安区
35.250.117	35.251.40	广东省深圳市
35.251.41	35.251.41	广东省深圳市南山区
35.251.42	35.252.*	广东省深圳市
35.253.0	35.253.*	广东省深圳市宝安区
