0.0.0.0	0.0.0.0	4l
14.208.0.0	14.223.*.*	广东省
14.224.0.0	14.*.*.*	越南
15.0.0.0	21.233.*.*	美国
21.234.0.0	21.234.*.*	台湾省
21.235.0.0	22.*.*.*	美国
23.0.0.0	23.*.*.*	IANA
24.0.0.0	24.35.127.*	美国
24.35.128.0	24.35.*.*	北美地区
24.36.0.0	24.37.*.*	加拿大
24.38.0.0	24.38.143.*	美国
24.38.144.0	24.38.159.*	加拿大
24.38.160.0	24.38.191.*	美国
24.38.192.0	24.38.*.*	北美地区
24.39.0.0	24.40.223.*	美国
24.40.224.0	24.40.*.*	北美地区
24.41.0.0	24.41.95.*	美国
24.41.96.0	24.41.*.*	北美地区
24.42.0.0	24.42.63.*	波多黎各
24.42.64.0	24.47.*.*	美国
24.48.0.0	24.48.127.*	北美地区
24.48.128.0	24.48.175.*	美国
24.48.176.0	24.48.191.*	加拿大
24.48.192.0	24.48.*.*	波多黎各
24.49.0.0	24.49.207.*	美国
24.49.208.0	24.49.223.*	北美地区
24.49.224.0	24.49.*.*	加拿大
24.50.0.0	24.50.31.*	美国
24.50.32.0	24.50.63.*	北美地区
24.50.64.0	24.50.127.*	加拿大
24.50.128.0	24.50.159.*	美国
24.50.160.0	24.50.191.*	北美地区
24.50.192.0	24.50.*.*	波多黎各
24.51.0.0	24.51.31.*	北美地区
24.51.32.0	24.51.63.*	美国
24.51.64.0	24.51.127.*	巴哈马
24.51.128.0	24.51.223.*	美国
24.51.224.0	24.51.*.*	北美地区
24.52.0.0	24.52.175.*	美国
24.52.176.0	24.53.63.*	北美地区
24.53.64.0	24.53.79.*	美国
24.53.80.0	24.53.95.*	加拿大
24.53.96.0	24.53.127.*	北美地区
24.53.128.0	24.53.191.*	美国
24.53.192.0	24.53.223.*	北美地区
24.53.224.0	24.53.239.*	加拿大
24.53.240.0	24.53.*.*	北美地区
24.54.0.0	24.54.63.*	加拿大
24.54.64.0	24.54.95.*	北美地区
24.54.96.0	24.54.191.*	美国
24.54.192.0	24.54.*.*	波多黎各
24.55.0.0	24.55.63.*	北美地区
24.55.64.0	24.55.127.*	波多黎各
24.55.128.0	24.55.159.*	北美地区
24.55.160.0	24.55.191.*	波多黎各
24.55.192.0	24.55.*.*	北美地区
24.56.0.0	24.56.*.*	美国
24.57.0.0	24.57.*.*	加拿大
24.58.0.0	24.63.*.*	美国
24.64.0.0	24.72.143.*	加拿大
24.72.144.0	24.75.111.*	美国
24.75.112.0	24.75.127.*	北美地区
24.75.128.0	24.75.143.*	美国
24.75.144.0	24.75.159.*	北美地区
24.75.160.0	24.75.175.*	美国
24.75.176.0	24.75.191.*	北美地区
24.75.192.0	24.75.*.*	美国
24.76.0.0	24.87.*.*	加拿大
24.88.0.0	24.89.63.*	美国
24.89.64.0	24.89.127.*	加拿大
24.89.128.0	24.89.191.*	美国
24.89.192.0	24.89.*.*	加拿大
24.90.0.0	24.92.143.*	美国
24.92.144.0	24.92.159.*	圣文森特和格林纳丁斯
24.92.160.0	24.99.*.*	美国
24.100.0.0	24.100.191.*	加拿大
24.100.192.0	24.100.*.*	北美地区
24.101.0.0	24.101.*.*	美国
24.102.0.0	24.102.63.*	加拿大
24.102.64.0	24.102.127.*	北美地区
24.102.128.0	24.104.159.*	美国
24.104.160.0	24.104.*.*	北美地区
24.105.0.0	24.105.63.*	美国
24.105.64.0	24.105.127.*	北美地区
24.105.128.0	24.107.*.*	美国
24.108.0.0	24.109.*.*	加拿大
24.110.0.0	24.113.191.*	美国
24.113.192.0	24.113.*.254	加拿大
24.113.*.*	24.113.*.*	美国
24.114.0.0	24.114.*.*	加拿大
24.115.0.0	24.121.*.*	美国
24.122.0.0	24.122.*.*	加拿大
24.123.0.0	24.129.223.*	美国
24.129.224.0	24.129.239.*	加拿大
24.129.240.0	24.129.*.*	北美地区
24.130.0.0	24.131.*.*	美国
24.132.0.0	24.132.*.*	荷兰
24.133.0.0	24.134.*.*	北美地区
24.135.0.0	24.135.*.*	荷兰
24.136.0.0	24.137.31.*	美国
24.137.32.0	24.137.47.*	加拿大
24.137.48.0	24.137.63.*	北美地区
24.137.64.0	24.137.127.*	加拿大
24.137.128.0	24.137.191.*	美国
24.137.192.0	24.137.223.*	加拿大
24.137.224.0	24.137.*.*	北美地区
24.138.0.0	24.138.79.*	加拿大
24.138.80.0	24.138.95.*	北美地区
24.138.96.0	24.138.191.*	加拿大
24.138.192.0	24.138.*.*	波多黎各
24.139.0.0	24.139.31.*	加拿大
24.139.32.0	24.139.63.*	美国
24.139.64.0	24.139.*.*	波多黎各
24.140.0.0	24.140.223.*	美国
24.140.224.0	24.140.*.*	北美地区
24.141.0.0	24.142.63.*	加拿大
24.142.64.0	24.142.79.*	美国
24.142.80.0	24.142.95.*	北美地区
24.142.96.0	24.142.127.*	美国
24.142.128.0	24.142.*.*	北美地区
24.143.0.0	24.143.127.*	美国
24.143.128.0	24.143.191.*	北美地区
24.143.192.0	24.145.*.*	美国
24.146.0.0	24.146.31.*	加拿大
24.146.32.0	24.146.*.*	北美地区
24.147.0.0	24.149.*.*	美国
24.150.0.0	24.150.*.*	加拿大
24.151.0.0	24.151.*.*	美国
24.152.0.0	24.152.127.*	北美地区
24.152.128.0	24.152.*.*	美国
24.153.0.0	24.153.31.*	加拿大
24.153.32.0	24.153.95.*	美国
24.153.96.0	24.153.111.*	加拿大
24.153.112.0	24.156.127.*	美国
24.156.128.0	24.156.159.*	加拿大
24.156.160.0	24.156.*.*	北美地区
24.157.0.0	24.157.15.*	美国
24.157.16.0	24.157.*.*	北美地区
24.158.0.0	24.171.191.*	美国
24.171.192.0	24.171.*.*	波多黎各
24.172.0.0	24.199.*.*	美国
24.200.0.0	24.203.*.*	加拿大
24.204.0.0	24.204.143.*	美国
24.204.144.0	24.204.*.*	北美地区
24.205.0.0	24.205.*.*	美国
24.206.0.0	24.206.31.*	巴哈马
24.206.32.0	24.206.*.*	美国
24.207.0.0	24.207.127.*	加拿大
24.207.128.0	24.211.*.*	美国
24.212.0.0	24.212.127.*	加拿大
24.212.128.0	24.212.*.*	北美地区
24.213.0.0	24.213.63.*	美国
24.213.64.0	24.213.95.*	加拿大
24.213.96.0	24.213.111.*	美国
24.213.112.0	24.213.127.*	北美地区
24.213.128.0	24.214.*.*	美国
24.215.0.0	24.215.127.*	加拿大
24.215.128.0	24.221.*.*	美国
24.222.0.0	24.222.*.*	加拿大
24.223.0.0	24.223.79.*	美国
24.223.80.0	24.223.95.*	北美地区
24.223.96.0	24.224.127.*	美国
24.224.128.0	24.224.*.*	加拿大
24.225.0.0	24.225.111.*	美国
24.225.112.0	24.225.*.*	北美地区
24.226.0.0	24.226.*.*	加拿大
24.227.0.0	24.227.31.*	波多黎各
24.227.32.0	24.230.191.*	美国
24.230.192.0	24.231.15.*	加拿大
24.231.16.0	24.231.31.*	美国
24.231.32.0	24.231.63.*	巴哈马
24.231.64.0	24.231.111.*	加拿大
24.231.112.0	24.231.127.*	北美地区
24.231.128.0	24.231.*.*	美国
24.232.0.0	24.232.*.*	阿根廷
24.233.0.0	24.235.31.*	美国
24.235.32.0	24.235.63.*	加拿大
24.235.64.0	24.235.79.*	美国
24.235.80.0	24.235.95.*	北美地区
24.235.96.0	24.235.*.*	加拿大
24.236.0.0	24.238.*.*	美国
24.239.0.0	24.239.15.*	加拿大
24.239.16.0	24.239.31.*	北美地区
24.239.32.0	24.243.*.*	美国
24.244.0.0	24.244.95.*	加拿大
24.244.96.0	24.244.111.*	美国
24.244.112.0	24.244.127.*	加拿大
24.244.128.0	24.244.191.*	巴哈马
24.244.192.0	24.244.*.*	加拿大
24.245.0.0	24.245.223.*	美国
24.245.224.0	24.245.239.*	加拿大
24.245.240.0	24.245.*.*	美国
24.246.0.0	24.246.95.*	加拿大
24.246.96.0	24.246.127.*	北美地区
24.246.128.0	24.246.223.*	美国
24.246.224.0	24.246.*.*	北美地区
24.247.0.0	24.*.*.*	美国
25.0.0.0	25.*.*.*	英国
26.0.0.0	26.*.*.*	美国
27.0.0.0	27.0.3.*	日本
27.0.4.0	27.0.7.*	马来西亚
27.0.8.0	27.0.11.*	新加坡
27.0.12.0	27.0.15.*	越南
27.0.16.0	27.0.47.*	日本
27.0.48.0	27.0.63.*	印度
27.0.64.0	27.0.95.*	澳大利亚
27.0.96.0	27.0.127.*	亚太地区
27.0.128.0	27.0.*.*	日本
27.1.0.0	27.1.*.*	韩国
27.2.0.0	27.3.*.*	越南
27.4.0.0	27.7.*.*	印度
27.8.0.0	27.15.*.*	重庆市
27.16.0.0	27.18.*.*	湖北省武汉市
27.19.0.0	27.21.*.*	湖北省
27.22.0.0	27.22.*.*	湖北省襄樊市
27.23.0.0	27.31.*.*	湖北省
27.32.0.0	27.33.*.*	澳大利亚
27.34.0.0	27.34.127.*	尼泊尔
27.34.128.0	27.34.175.*	日本
27.34.176.0	27.34.191.*	新加坡
27.34.192.0	27.34.223.*	日本
27.34.224.0	27.34.231.*	澳大利亚
27.34.232.0	27.34.239.*	亚太地区
27.34.240.0	27.34.*.*	印度
27.35.0.0	27.35.*.*	韩国
27.36.0.0	27.36.127.*	广东省
27.36.128.0	27.36.134.*	广东省佛山市
27.36.135.0	27.36.*.*	广东省
27.37.0.0	27.37.*.*	广东省东莞市
27.38.0.0	27.38.*.*	广东省深圳市
27.39.0.0	27.40.*.*	广东省
27.41.0.0	27.41.212.*	广东省江门市
27.41.213.0	27.41.213.*	广东省汕头市
27.41.214.0	27.41.*.*	广东省江门市
27.42.0.0	27.42.82.*	广东省珠海市
27.42.83.0	27.42.83.*	广东省珠海市香洲区
27.42.84.0	27.42.127.*	广东省珠海市
27.42.128.0	27.42.*.*	广东省中山市
27.43.0.0	27.43.129.*	广东省揭阳市
27.43.130.0	27.43.130.*	广东省梅州市
27.43.131.0	27.43.*.*	广东省揭阳市
27.44.0.0	27.44.*.*	广东省
27.45.0.0	27.45.167.*	广东省佛山市
27.45.168.0	27.45.168.*	广东省佛山市南海区
27.45.169.0	27.45.*.*	广东省佛山市
27.46.0.0	27.47.*.*	广东省
27.48.0.0	27.49.*.*	印度
27.50.0.0	27.50.3.*	菲律宾
27.50.4.0	27.50.7.*	印度
27.50.8.0	27.50.11.*	尼泊尔
27.50.12.0	27.50.15.*	日本
27.50.16.0	27.50.31.*	印度尼西亚
27.50.32.0	27.50.39.*	香港
27.50.40.0	27.50.47.*	亚太地区
27.50.48.0	27.50.95.*	澳大利亚
27.50.96.0	27.50.127.*	亚太地区
27.50.128.0	27.50.*.*	河南省郑州市
27.51.0.0	27.53.*.*	台湾省
27.54.0.0	27.54.63.*	新加坡
27.54.64.0	27.54.71.*	澳大利亚
27.54.72.0	27.54.79.*	亚太地区
27.54.80.0	27.54.87.*	澳大利亚
27.54.88.0	27.54.95.*	亚太地区
27.54.96.0	27.54.115.*	日本
27.54.116.0	27.54.119.*	马来西亚
27.54.120.0	27.54.123.*	巴基斯坦
27.54.124.0	27.54.127.*	日本
27.54.128.0	27.54.143.*	澳大利亚
27.54.144.0	27.54.151.*	印度
27.54.152.0	27.54.159.*	亚太地区
27.54.160.0	27.54.191.*	印度
27.54.192.0	27.54.*.*	安徽省滁州市
27.55.0.0	27.55.*.*	泰国
27.56.0.0	27.63.*.*	印度
27.64.0.0	27.79.*.*	越南
27.80.0.0	27.96.23.*	日本
27.96.24.0	27.96.31.*	托克劳
27.96.32.0	27.96.63.*	日本
27.96.64.0	27.96.67.*	新西兰
27.96.68.0	27.96.71.*	亚太地区
27.96.72.0	27.96.83.*	日本
27.96.84.0	27.96.87.*	印度
27.96.88.0	27.96.91.*	巴基斯坦
27.96.92.0	27.96.95.*	亚太地区
27.96.96.0	27.96.127.*	新加坡
27.96.128.0	27.96.191.*	韩国
27.96.192.0	27.96.223.*	澳大利亚
27.96.224.0	27.96.*.*	亚太地区
27.97.0.0	27.97.*.*	印度
27.98.0.0	27.98.191.*	日本
27.98.192.0	27.98.207.*	香港
27.98.208.0	27.98.223.*	北京市
27.98.224.0	27.98.*.*	西藏
27.99.0.0	27.99.127.*	澳大利亚
27.99.128.0	27.99.*.*	亚太地区
27.100.0.0	27.100.3.*	澳大利亚
27.100.4.0	27.100.7.*	亚太地区
27.100.8.0	27.100.11.*	日本
27.100.12.0	27.100.15.*	印度
27.100.16.0	27.100.23.*	香港
27.100.24.0	27.100.27.*	澳大利亚
27.100.28.0	27.100.31.*	亚太地区
27.100.32.0	27.100.35.*	日本
27.100.36.0	27.100.39.*	广东省珠海市
27.100.40.0	27.100.47.*	泰国
27.100.48.0	27.100.63.*	日本
27.100.64.0	27.100.127.*	台湾省
27.100.128.0	27.102.*.*	韩国
27.103.0.0	27.103.*.*	广东省
27.104.0.0	27.104.*.*	新加坡
27.105.0.0	27.105.*.*	台湾省
27.106.0.0	27.106.127.*	印度
27.106.128.0	27.106.191.*	江西省南昌市
27.106.192.0	27.106.203.*	澳大利亚
27.106.204.0	27.106.207.*	亚太地区
27.106.208.0	27.106.215.*	日本
27.106.216.0	27.106.223.*	菲律宾
27.106.224.0	27.106.*.*	日本
27.107.0.0	27.107.*.*	印度
27.108.0.0	27.108.*.*	菲律宾
27.109.0.0	27.109.31.*	印度
27.109.32.0	27.109.63.*	亚太地区
27.109.64.0	27.109.95.*	菲律宾
27.109.96.0	27.109.103.*	日本
27.109.104.0	27.109.107.*	新加坡
27.109.108.0	27.109.111.*	澳大利亚
27.109.112.0	27.109.119.*	柬埔寨
27.109.120.0	27.109.123.*	日本
27.109.124.0	27.109.127.*	亚太地区
27.109.128.0	27.109.*.*	澳门
27.110.0.0	27.110.63.*	日本
27.110.64.0	27.110.79.*	香港
27.110.80.0	27.110.95.*	马来西亚
27.110.96.0	27.110.119.*	日本
27.110.120.0	27.110.127.*	新西兰
27.110.128.0	27.110.*.*	菲律宾
27.111.0.0	27.111.7.*	澳大利亚
27.111.8.0	27.111.11.*	柬埔寨
27.111.12.0	27.111.15.*	新西兰
27.111.16.0	27.111.31.*	尼泊尔
27.111.32.0	27.111.63.*	印度尼西亚
27.111.64.0	27.111.71.*	澳大利亚
27.111.72.0	27.111.75.*	亚太地区
27.111.76.0	27.111.79.*	日本
27.111.80.0	27.111.95.*	澳大利亚
27.111.96.0	27.111.127.*	韩国
27.111.128.0	27.111.159.*	日本
27.111.160.0	27.111.207.*	香港特别行政区
27.111.208.0	27.111.239.*	新加坡
27.111.240.0	27.111.*.*	澳大利亚
27.112.0.0	27.112.63.*	天津市
27.112.64.0	27.112.71.*	印度尼西亚
27.112.72.0	27.112.75.*	澳大利亚
27.112.76.0	27.112.79.*	印度尼西亚
27.112.80.0	27.112.95.*	北京市
27.112.96.0	27.112.103.*	澳大利亚
27.112.104.0	27.112.111.*	日本
27.112.112.0	27.112.119.*	泰国
27.112.120.0	27.112.123.*	印度
27.112.124.0	27.112.127.*	日本
27.112.128.0	27.113.127.*	韩国
27.113.128.0	27.113.191.*	上海市
27.113.192.0	27.113.239.*	日本
27.113.240.0	27.113.247.*	澳大利亚
27.113.248.0	27.113.251.*	日本
27.113.252.0	27.113.*.*	印度
27.114.0.0	27.114.127.*	日本
27.114.128.0	27.114.191.*	马尔代夫
27.114.192.0	27.114.*.*	新加坡
27.115.0.0	27.115.127.*	上海市
27.115.128.0	27.115.*.*	韩国
27.116.0.0	27.116.15.*	日本
27.116.16.0	27.116.23.*	印度
27.116.24.0	27.116.31.*	日本
27.116.32.0	27.116.35.*	印度
27.116.36.0	27.116.39.*	澳大利亚
27.116.40.0	27.116.43.*	日本
27.116.44.0	27.116.47.*	北京市
27.116.48.0	27.116.55.*	印度
27.116.56.0	27.116.59.*	阿富汗
27.116.60.0	27.116.63.*	柬埔寨
27.116.64.0	27.117.*.*	韩国
27.118.0.0	27.118.15.*	日本
27.118.16.0	27.118.31.*	越南
27.118.32.0	27.118.63.*	印度
27.118.64.0	27.120.63.*	韩国
27.120.64.0	27.121.63.*	日本
27.121.64.0	27.121.71.*	澳大利亚
27.121.72.0	27.121.79.*	亚太地区
27.121.80.0	27.121.87.*	印度尼西亚
27.121.88.0	27.121.91.*	澳大利亚
27.121.92.0	27.121.95.*	亚太地区
27.121.96.0	27.121.99.*	新西兰
27.121.100.0	27.121.103.*	亚太地区
27.121.104.0	27.121.107.*	澳大利亚
27.121.108.0	27.121.111.*	亚太地区
27.121.112.0	27.121.119.*	澳大利亚
27.121.120.0	27.121.127.*	亚太地区
27.121.128.0	27.121.*.*	日本
27.122.0.0	27.122.3.*	新喀里多尼亚
27.122.4.0	27.122.7.*	亚太地区
27.122.8.0	27.122.11.*	日本
27.122.12.0	27.122.15.*	香港特别行政区
27.122.16.0	27.122.31.*	巴布亚新几内亚
27.122.32.0	27.122.55.*	日本
27.122.56.0	27.122.59.*	马来西亚
27.122.60.0	27.122.63.*	新加坡
27.122.64.0	27.122.111.*	日本
27.122.112.0	27.122.127.*	澳大利亚
27.122.128.0	27.122.*.*	韩国
27.123.0.0	27.123.7.*	印度尼西亚
27.123.8.0	27.123.15.*	日本
27.123.16.0	27.123.19.*	泰国
27.123.20.0	27.123.23.*	新西兰
27.123.24.0	27.123.31.*	澳大利亚
27.123.32.0	27.123.63.*	亚太地区
27.123.64.0	27.123.127.*	印度
27.123.128.0	27.123.191.*	斐济群岛
27.123.192.0	27.123.207.*	亚太地区
27.123.208.0	27.123.211.*	日本
27.123.212.0	27.123.215.*	蒙古
27.123.216.0	27.123.219.*	印度
27.123.220.0	27.123.223.*	印度尼西亚
27.123.224.0	27.123.*.*	菲律宾
27.124.0.0	27.124.63.*	印度
27.124.64.0	27.124.79.*	菲律宾
27.124.80.0	27.124.95.*	印度尼西亚
27.124.96.0	27.124.111.*	澳大利亚
27.124.112.0	27.124.127.*	亚太地区
27.124.128.0	27.125.127.*	韩国
27.125.128.0	27.125.191.*	新加坡
27.125.192.0	27.125.195.*	瓦利斯和富图纳
27.125.196.0	27.125.199.*	新加坡
27.125.200.0	27.125.203.*	印度
27.125.204.0	27.125.207.*	日本
27.125.208.0	27.125.223.*	澳大利亚
27.125.224.0	27.125.*.*	马来西亚
27.126.0.0	27.126.63.*	韩国
27.126.64.0	27.126.143.*	日本
27.126.144.0	27.126.151.*	澳大利亚
27.126.152.0	27.126.155.*	菲律宾
27.126.156.0	27.126.159.*	马来西亚
27.126.160.0	27.126.175.*	日本
27.126.176.0	27.126.*.*	香港
27.127.0.0	27.127.191.*	日本
27.127.192.0	27.127.239.*	澳大利亚
27.127.240.0	27.127.*.*	日本
27.128.0.0	27.128.213.*	河北省
27.128.214.0	27.128.214.*	河北省邯郸市
27.128.215.0	27.128.224.*	河北省
27.128.225.0	27.128.225.*	河北省唐山市
27.128.226.0	27.128.240.*	河北省
27.128.241.0	27.128.241.*	河北省辛集市
27.128.242.0	27.129.*.*	河北省
27.130.0.0	27.130.*.*	泰国
27.131.0.0	27.131.7.*	印度尼西亚
27.131.8.0	27.131.11.*	日本
27.131.12.0	27.131.15.*	孟加拉
27.131.16.0	27.131.31.*	日本
27.131.32.0	27.131.63.*	马来西亚
27.131.64.0	27.131.127.*	澳大利亚
27.131.128.0	27.131.191.*	泰国
27.131.192.0	27.131.207.*	日本
27.131.208.0	27.131.215.*	印度
27.131.216.0	27.131.219.*	澳大利亚
27.131.220.0	27.131.223.*	北京市
27.131.224.0	27.131.247.*	日本
27.131.248.0	27.131.*.*	印度尼西亚
27.132.0.0	27.143.*.*	日本
27.144.0.0	27.144.*.*	重庆市
27.145.0.0	27.145.*.*	泰国
27.146.0.0	27.146.*.*	马来西亚
27.147.0.0	27.147.63.*	台湾省
27.147.64.0	27.147.127.*	日本
27.147.128.0	27.147.*.*	孟加拉
27.148.0.0	27.159.*.*	福建省
27.160.0.0	27.183.*.*	韩国
27.184.0.0	27.184.*.*	河北省石家庄市
27.185.0.0	27.185.*.*	河北省
27.186.0.0	27.187.*.*	河北省保定市
27.188.0.0	27.188.*.*	河北省
27.189.0.0	27.189.*.*	河北省廊坊市
27.190.0.0	27.190.176.*	河北省
27.190.177.0	27.190.177.*	河北省唐山市
27.190.178.0	27.191.*.*	河北省
27.192.0.0	27.223.*.*	山东省
27.224.0.0	27.227.*.*	甘肃省
27.228.0.0	27.231.*.*	日本
27.232.0.0	27.239.*.*	韩国
27.240.0.0	27.247.*.*	台湾省
27.248.0.0	27.251.*.*	印度
27.252.0.0	27.252.*.*	新西兰
27.253.0.0	27.253.*.*	亚太地区
27.254.0.0	27.254.*.*	泰国
27.*.0.0	27.*.63.*	巴基斯坦
27.*.64.0	27.*.127.*	韩国
27.*.128.0	27.*.*.*	印度
28.0.0.0	30.*.*.*	美国
31.0.0.0	31.*.*.*	欧洲和中东地区
32.0.0.0	35.*.*.*	美国
36.0.0.0	36.*.*.*	亚太地区
