
0.0.0	31.*.*	韩国
39.62.163	39.62.237	广东省佛山市
39.62.238	39.62.238	广东省佛山市三水区
39.62.239	39.63.9	广东省佛山市
39.63.10	39.63.10	广东省佛山市高明区
39.63.11	39.63.25	广东省佛山市
39.63.26	39.63.26	广东省佛山市高明区
39.63.27	39.63.93	广东省佛山市
39.63.94	39.63.94	广东省佛山市高明区
39.63.95	39.63.121	广东省佛山市
39.63.122	39.63.122	广东省佛山市高明区
39.63.123	39.63.221	广东省佛山市
39.63.222	39.63.222	广东省佛山市高明区
39.63.223	39.65.17	广东省佛山市
39.65.18	39.65.18	广东省佛山市禅城区
39.65.19	39.65.45	广东省佛山市
39.65.46	39.65.46	广东省佛山市禅城区
39.65.47	39.67.49	广东省佛山市
39.67.50	39.67.50	广东省佛山市顺德区
39.67.51	39.67.55	广东省佛山市
39.67.56	39.67.56	广东省佛山市顺德区
39.67.57	39.67.81	广东省佛山市
39.67.82	39.71.*	广东省佛山市顺德区
39.72.0	39.76.*	广东省广州市
39.77.0	39.87.*	广东省深圳市
39.88.0	39.89.*	广东省阳江市
39.90.0	39.90.3	广东省阳春市
39.90.4	39.90.5	广东省阳江市
39.90.6	39.90.6	广东省阳春市
39.90.7	39.127.*	广东省阳江市
39.128.0	39.147.213	广东省惠州市
39.147.214	39.147.214	广东省惠州市惠东县
39.147.215	39.151.*	广东省惠州市
39.152.0	39.165.*	广东省东莞市
39.166.0	39.167.*	广东省广州市
39.168.0	39.169.49	广东省东莞市
39.169.50	39.169.51	广东省东莞市虎门镇
39.169.52	39.169.54	广东省东莞市
39.169.55	39.169.55	广东省东莞市虎门镇
39.169.56	39.170.179	广东省东莞市
39.170.180	39.170.180	广东省东莞市虎门镇
39.170.181	39.178.105	广东省东莞市
39.178.106	39.178.106	广东省东莞市虎门镇
39.178.107	39.*.*	广东省东莞市
40.0.0	40.5.*	广东省深圳市宝安区
40.6.0	40.8.*	广东省深圳市
40.9.0	40.9.*	广东省深圳市宝安区
40.10.0	40.16.*	广东省深圳市
40.17.0	40.17.*	广东省深圳市宝安区
40.18.0	40.21.*	广东省深圳市
40.22.0	40.23.*	广东省深圳市福田区
40.24.0	40.26.*	广东省深圳市罗湖区
40.27.0	40.27.*	广东省深圳市
40.28.0	40.28.*	广东省深圳市福田区
40.29.0	40.29.*	广东省深圳市龙岗区
40.30.0	40.31.*	广东省深圳市福田区
40.32.0	40.32.*	广东省深圳市南山区
40.33.0	40.33.*	广东省深圳市福田区
40.34.0	40.38.*	广东省深圳市
40.39.0	40.46.*	广东省深圳市南山区
40.47.0	40.49.*	广东省深圳市
40.50.0	40.51.*	广东省深圳市罗湖区
40.52.0	40.57.*	广东省深圳市
40.58.0	40.59.*	广东省深圳市宝安区
40.60.0	40.62.*	广东省深圳市龙岗区
40.63.0	40.66.*	广东省深圳市宝安区
40.67.0	40.67.*	广东省深圳市龙岗区
40.68.0	40.70.*	广东省深圳市宝安区
40.71.0	40.71.*	广东省深圳市
40.72.0	40.75.*	广东省深圳市福田区
40.76.0	40.76.*	广东省深圳市盐田区
40.77.0	40.77.*	广东省深圳市福田区
40.78.0	40.78.*	广东省深圳市罗湖区
40.79.0	40.80.*	广东省深圳市
40.81.0	40.81.*	广东省深圳市盐田区
40.82.0	40.84.*	广东省深圳市
40.85.0	40.85.*	广东省深圳市罗湖区
40.86.0	40.87.*	广东省深圳市
40.88.0	40.91.*	广东省深圳市龙岗区
40.92.0	40.97.*	广东省深圳市
40.98.0	40.99.*	广东省深圳市南山区
40.100.0	40.108.*	广东省深圳市
40.109.0	40.110.*	广东省深圳市南山区
40.111.0	40.111.*	广东省深圳市福田区
40.112.0	40.112.*	广东省深圳市南山区
40.113.0	40.113.*	广东省深圳市
40.114.0	40.114.*	广东省深圳市南山区
40.115.0	40.119.*	广东省深圳市
40.120.0	40.120.*	广东省深圳市福田区
40.121.0	40.121.*	广东省深圳市南山区
40.122.0	40.123.*	广东省深圳市
40.124.0	40.124.*	广东省深圳市福田区
40.125.0	40.125.*	广东省深圳市
40.126.0	40.126.*	广东省深圳市龙岗区
40.127.0	40.127.*	广东省深圳市福田区
40.128.0	40.128.*	广东省深圳市
40.129.0	40.131.*	广东省深圳市罗湖区
40.132.0	40.135.*	广东省深圳市
40.136.0	40.136.*	广东省深圳市龙岗区
40.137.0	40.147.*	广东省深圳市宝安区
40.148.0	40.152.*	广东省深圳市龙岗区
40.153.0	40.153.*	广东省深圳市罗湖区
40.154.0	40.155.*	广东省深圳市龙岗区
40.156.0	40.156.*	广东省深圳市福田区
40.157.0	40.163.*	广东省深圳市宝安区
40.164.0	40.167.*	广东省深圳市福田区
40.168.0	40.168.*	广东省深圳市宝安区
40.169.0	40.169.*	广东省深圳市龙岗区
40.170.0	40.178.*	广东省深圳市
40.179.0	40.179.*	广东省深圳市龙岗区
40.180.0	40.181.*	广东省深圳市
40.182.0	40.182.*	广东省深圳市福田区
40.183.0	40.183.60	广东省深圳市
40.183.61	40.183.61	广东省深圳市宝安区
40.183.62	40.183.108	广东省深圳市
40.183.109	40.183.109	广东省深圳市宝安区
40.183.110	40.183.224	广东省深圳市
40.183.225	40.183.225	广东省深圳市宝安区
40.183.226	40.183.241	广东省深圳市
40.183.242	40.183.246	广东省深圳市宝安区
40.183.247	40.185.*	广东省深圳市
40.186.0	40.186.*	广东省深圳市龙岗区
40.187.0	40.191.*	广东省深圳市
40.192.0	40.198.*	广东省深圳市宝安区
40.199.0	40.200.*	广东省深圳市
40.201.0	40.201.*	广东省深圳市龙岗区
40.202.0	40.204.*	广东省深圳市
40.205.0	40.207.*	广东省深圳市罗湖区
40.208.0	40.213.*	广东省深圳市
40.214.0	40.217.*	广东省深圳市南山区
40.218.0	40.221.*	广东省深圳市
40.222.0	40.223.*	广东省深圳市福田区
40.224.0	40.227.*	广东省深圳市
40.228.0	40.228.*	广东省深圳市南山区
40.229.0	40.238.*	广东省深圳市
40.239.0	40.239.*	广东省深圳市罗湖区
40.240.0	40.242.*	广东省深圳市
40.243.0	40.244.*	广东省深圳市龙岗区
40.245.0	40.245.*	广东省深圳市福田区
40.246.0	40.251.*	广东省深圳市龙岗区
40.252.0	40.*.*	广东省深圳市
41.0.0	41.19.3	广东省广州市
41.19.4	41.19.4	广东省广州市增城市
41.19.5	41.19.243	广东省广州市
41.19.244	41.19.244	广东省广州市增城区
41.19.245	41.21.*	广东省广州市
41.22.0	41.22.*	广东省广州市增城市
41.23.0	41.24.*	广东省广州市
41.25.0	41.25.*	广东省广州市增城市
41.26.0	41.27.*	广东省广州市
41.28.0	41.31.*	广东省广州市从化市
41.32.0	41.35.*	广东省广州市
41.36.0	41.38.*	广东省广州市天河区
41.39.0	41.39.*	广东省广州市番禺区
41.40.0	41.40.*	广东省广州市荔湾区
41.41.0	41.41.*	广东省广州市天河区
41.42.0	41.44.*	广东省广州市
41.45.0	41.58.*	广东省广州市天河区
41.59.0	41.59.*	广东省广州市越秀区
41.60.0	41.60.7	广东省广州市白云区
41.60.8	41.60.27	广东省广州市天河区
41.60.28	41.60.28	广东省广州市
41.60.29	41.60.50	广东省广州市天河区
41.60.51	41.60.51	广东省广州市萝岗区
41.60.52	41.60.81	广东省广州市天河区
41.60.82	41.60.82	广东省广州市白云区
41.60.83	41.60.185	广东省广州市天河区
41.60.186	41.60.189	广东省广州市白云区
41.60.190	41.60.217	广东省广州市天河区
41.60.218	41.60.218	广东省广州市
41.60.219	41.61.71	广东省广州市天河区
41.61.72	41.61.79	广东省广州市
41.61.80	41.61.103	广东省广州市天河区
41.61.104	41.61.111	广东省广州市
41.61.112	41.63.*	广东省广州市天河区
41.64.0	41.64.*	广东省广州市
41.65.0	41.66.*	广东省广州市荔湾区
41.67.0	41.67.*	广东省广州市
41.68.0	41.68.*	广东省广州市黄埔区
41.69.0	41.70.89	广东省广州市
41.70.90	41.70.90	广东省广州市海珠区
41.70.91	41.71.*	广东省广州市
41.72.0	41.72.27	广东省广州市海珠区
41.72.28	41.72.28	广东省广州市天河区
41.72.29	41.75.*	广东省广州市海珠区
41.76.0	41.78.*	广东省广州市番禺区
41.79.0	41.79.*	广东省广州市海珠区
41.80.0	41.97.*	广东省广州市白云区
41.98.0	41.99.*	广东省广州市天河区
41.100.0	41.108.187	广东省广州市白云区
41.108.188	41.108.188	广东省广州市
41.108.189	41.111.135	广东省广州市白云区
41.111.136	41.111.199	广东省广州市
41.111.200	41.111.*	广东省广州市白云区
41.112.0	41.127.*	广东省广州市番禺区
41.128.0	41.140.*	广东省广州市
41.141.0	41.141.89	广东省广州市越秀区
41.141.90	41.141.90	广东省广州市
41.141.91	41.141.*	广东省广州市越秀区
41.142.0	41.143.*	广东省广州市从化市
41.144.0	41.149.*	广东省广州市
41.150.0	41.150.*	广东省广州市白云区
41.151.0	41.155.*	广东省广州市
41.156.0	41.157.*	广东省广州市越秀区
41.158.0	41.159.*	广东省广州市
41.160.0	41.173.*	广东省广州市天河区
41.174.0	41.177.*	广东省广州市
41.178.0	41.178.*	广东省广州市越秀区
41.179.0	41.181.65	广东省广州市天河区
41.181.66	41.181.67	广东省广州市
41.181.68	41.182.*	广东省广州市天河区
41.183.0	41.188.*	广东省广州市
41.189.0	41.189.*	广东省广州市天河区
41.190.0	41.209.*	广东省广州市
41.210.0	41.213.*	广东省广州市黄埔区
41.214.0	41.214.*	广东省广州市萝岗区
41.215.0	41.215.*	广东省广州市黄埔区
41.216.0	41.216.*	广东省广州市天河区
41.217.0	41.217.*	广东省广州市海珠区
41.218.0	41.219.*	广东省广州市天河区
41.220.0	41.221.*	广东省广州市
41.222.0	41.227.*	广东省广州市天河区
41.228.0	41.228.*	广东省广州市花都区
41.229.0	41.235.*	广东省广州市天河区
41.236.0	41.238.*	广东省广州市花都区
41.239.0	41.239.59	广东省广州市
41.239.60	41.239.61	广东省广州市花都区
41.239.62	41.239.155	广东省广州市
41.239.156	41.239.156	广东省广州市花都区
41.239.157	41.239.*	广东省广州市
41.240.0	41.252.224	广东省广州市番禺区
41.252.225	41.252.230	广东省广州市
41.252.231	41.253.0	广东省广州市番禺区
41.253.1	41.253.8	广东省广州市
41.253.9	41.254.*	广东省广州市番禺区
41.*.0	41.*.*	广东省广州市
42.0.0	42.0.*	广东省广州市天河区
42.1.0	42.1.*	广东省广州市
42.2.0	42.2.*	广东省广州市白云区
42.3.0	42.4.*	广东省广州市
42.5.0	42.5.*	广东省广州市黄埔区
42.6.0	42.6.156	广东省广州市天河区
42.6.157	42.6.157	广东省广州市白云区
42.6.158	42.6.*	广东省广州市天河区
42.7.0	42.7.*	广东省广州市黄埔区
42.8.0	42.9.67	广东省广州市天河区
42.9.68	42.9.68	广东省广州市
42.9.69	42.9.69	广东省广州市天河区
42.9.70	42.9.70	广东省广州市
42.9.71	42.9.*	广东省广州市天河区
42.10.0	42.12.*	广东省广州市
42.13.0	42.15.*	广东省广州市萝岗区
42.16.0	42.21.155	广东省广州市
42.21.156	42.21.158	广东省广州市荔湾区
42.21.159	42.21.234	广东省广州市
42.21.235	42.21.235	广东省广州市越秀区
42.21.236	42.26.*	广东省广州市
42.27.0	42.27.*	广东省广州市越秀区
42.28.0	42.28.*	广东省广州市荔湾区
42.29.0	42.31.*	广东省广州市越秀区
42.32.0	42.52.133	广东省广州市番禺区
42.52.134	42.52.134	广东省广州市
42.52.135	42.63.*	广东省广州市番禺区
42.64.0	42.65.*	广东省广州市
42.66.0	42.74.*	广东省广州市荔湾区
42.75.0	42.84.*	广东省广州市越秀区
42.85.0	42.86.*	广东省广州市增城市
42.87.0	42.87.*	广东省广州市
42.88.0	42.88.*	广东省广州市海珠区
42.89.0	42.89.*	广东省广州市天河区
42.90.0	42.91.*	广东省广州市
42.92.0	42.92.*	广东省广州市增城市
42.93.0	42.93.106	广东省广州市
42.93.107	42.93.107	广东省广州市萝岗区
42.93.108	42.93.*	广东省广州市
42.94.0	42.94.*	广东省广州市增城市
42.95.0	42.96.*	广东省广州市
42.97.0	42.97.*	广东省广州市越秀区
42.98.0	42.99.*	广东省广州市天河区
42.100.0	42.100.*	广东省广州市越秀区
42.101.0	42.102.*	广东省广州市天河区
42.103.0	42.105.*	广东省广州市
42.106.0	42.106.114	广东省广州市越秀区
42.106.115	42.106.115	广东省广州市
42.106.116	42.106.121	广东省广州市越秀区
42.106.122	42.106.122	广东省广州市
42.106.123	42.106.*	广东省广州市越秀区
42.107.0	42.107.*	广东省广州市
42.108.0	42.111.*	广东省广州市天河区
42.112.0	42.115.*	广东省广州市
42.116.0	42.116.*	广东省广州市白云区
42.117.0	42.123.*	广东省广州市天河区
42.124.0	42.124.*	广东省广州市越秀区
42.125.0	42.127.*	广东省广州市天河区
42.128.0	42.129.*	广东省广州市
42.130.0	42.131.*	广东省广州市海珠区
42.132.0	42.132.*	广东省广州市黄埔区
42.133.0	42.133.*	广东省广州市海珠区
42.134.0	42.134.*	广东省广州市黄埔区
42.135.0	42.135.*	广东省广州市海珠区
42.136.0	42.137.*	广东省广州市
42.138.0	42.138.*	广东省广州市海珠区
42.139.0	42.139.*	广东省广州市
42.140.0	42.141.*	广东省广州市海珠区
42.142.0	42.142.*	广东省广州市白云区
42.143.0	42.145.*	广东省广州市海珠区
42.146.0	42.147.*	广东省广州市
42.148.0	42.149.*	广东省广州市荔湾区
42.150.0	42.154.*	广东省广州市海珠区
42.155.0	42.163.*	广东省广州市
42.164.0	42.175.*	广东省广州市白云区
42.176.0	42.177.27	广东省广州市天河区
42.177.28	42.177.29	广东省广州市
42.177.30	42.181.*	广东省广州市天河区
42.182.0	42.183.*	广东省广州市海珠区
42.184.0	42.184.*	广东省广州市萝岗区
42.185.0	42.191.*	广东省广州市天河区
42.192.0	42.194.83	广东省广州市荔湾区
42.194.84	42.194.85	广东省广州市白云区
42.194.86	42.194.89	广东省广州市荔湾区
42.194.90	42.194.90	广东省广州市白云区
42.194.91	42.194.105	广东省广州市荔湾区
42.194.106	42.194.110	广东省广州市白云区
42.194.111	42.194.137	广东省广州市荔湾区
42.194.138	42.194.138	广东省广州市白云区
42.194.139	42.195.*	广东省广州市荔湾区
42.196.0	42.196.*	广东省广州市番禺区
42.197.0	42.197.*	广东省广州市荔湾区
42.198.0	42.198.57	广东省广州市番禺区
42.198.58	42.198.58	广东省广州市白云区
42.198.59	42.198.*	广东省广州市番禺区
42.199.0	42.199.*	广东省广州市荔湾区
42.200.0	42.202.201	广东省广州市
42.202.202	42.202.206	广东省广州市越秀区
42.202.207	42.205.*	广东省广州市
42.206.0	42.206.*	广东省广州市天河区
42.207.0	42.207.*	广东省广州市从化市
42.208.0	42.209.*	广东省广州市
42.210.0	42.210.*	广东省广州市白云区
42.211.0	42.212.*	广东省广州市
42.213.0	42.214.191	广东省广州市越秀区
42.214.192	42.215.*	广东省广州市
42.216.0	42.216.*	广东省广州市增城市
42.217.0	42.217.*	广东省广州市天河区
42.218.0	42.219.*	广东省广州市增城市
42.220.0	42.224.*	广东省广州市白云区
42.225.0	42.227.*	广东省广州市花都区
42.228.0	42.230.*	广东省广州市白云区
42.231.0	42.231.*	广东省广州市越秀区
42.232.0	42.239.*	广东省广州市番禺区
42.240.0	43.42.*	广东省广州市
43.43.0	43.43.*	广东省广州市番禺区
43.44.0	43.*.*	广东省广州市
44.0.0	44.33.221	辽宁省沈阳市
44.33.222	44.33.222	辽宁省沈阳市皇姑区
44.33.223	44.36.113	辽宁省沈阳市
44.36.114	44.36.114	辽宁省沈阳市皇姑区
44.36.115	44.36.117	辽宁省沈阳市
44.36.118	44.36.118	辽宁省沈阳市皇姑区
44.36.119	44.36.149	辽宁省沈阳市
44.36.150	44.36.150	辽宁省沈阳市皇姑区
44.36.151	44.36.197	辽宁省沈阳市
44.36.198	44.36.198	辽宁省沈阳市皇姑区
44.36.199	44.36.205	辽宁省沈阳市
44.36.206	44.36.206	辽宁省沈阳市皇姑区
44.36.207	44.36.229	辽宁省沈阳市
44.36.230	44.36.230	辽宁省沈阳市苏家屯区
44.36.231	44.36.233	辽宁省沈阳市
44.36.234	44.36.234	辽宁省沈阳市皇姑区
44.36.235	44.36.237	辽宁省沈阳市
44.36.238	44.36.238	辽宁省沈阳市皇姑区
44.36.239	44.37.89	辽宁省沈阳市
44.37.90	44.37.90	辽宁省沈阳市皇姑区
44.37.91	44.37.169	辽宁省沈阳市
44.37.170	44.37.170	辽宁省沈阳市皇姑区
44.37.171	44.37.209	辽宁省沈阳市
44.37.210	44.37.210	辽宁省沈阳市皇姑区
44.37.211	44.37.213	辽宁省沈阳市
44.37.214	44.37.214	辽宁省沈阳市皇姑区
44.37.215	44.39.49	辽宁省沈阳市
44.39.50	44.39.50	辽宁省沈阳市东陵区
44.39.51	44.39.53	辽宁省沈阳市
44.39.54	44.39.54	辽宁省沈阳市沈河区
44.39.55	44.39.57	辽宁省沈阳市
44.39.58	44.39.58	辽宁省沈阳市东陵区
44.39.59	44.41.65	辽宁省沈阳市
44.41.66	44.41.66	辽宁省沈阳市沈河区
44.41.67	44.41.93	辽宁省沈阳市
44.41.94	44.41.94	辽宁省沈阳市沈河区
44.41.95	44.41.145	辽宁省沈阳市
44.41.146	44.41.146	辽宁省沈阳市沈河区
44.41.147	44.43.5	辽宁省沈阳市
44.43.6	44.43.6	辽宁省沈阳市和平区
44.43.7	44.44.29	辽宁省沈阳市
44.44.30	44.44.30	辽宁省沈阳市皇姑区
44.44.31	44.63.*	辽宁省沈阳市
44.64.0	44.77.21	辽宁省大连市
44.77.22	44.77.22	辽宁省大连市瓦房店市
44.77.23	44.96.5	辽宁省大连市
44.96.6	44.96.6	辽宁省大连市开发区
44.96.7	44.96.13	辽宁省大连市
44.96.14	44.96.14	辽宁省大连市开发区
44.96.15	44.96.17	辽宁省大连市
44.96.18	44.96.18	辽宁省大连市甘井子区
44.96.19	44.96.21	辽宁省大连市
44.96.22	44.96.22	辽宁省大连市开发区
44.96.23	44.96.33	辽宁省大连市
44.96.34	44.96.34	辽宁省大连市开发区
44.96.35	44.96.45	辽宁省大连市
44.96.46	44.96.46	辽宁省大连市开发区
44.96.47	44.96.85	辽宁省大连市
44.96.86	44.96.86	辽宁省大连市开发区
44.96.87	44.96.93	辽宁省大连市
44.96.94	44.96.94	辽宁省大连市开发区
44.96.95	44.96.105	辽宁省大连市
44.96.106	44.96.106	辽宁省大连市开发区
44.96.107	44.96.108	辽宁省大连市
44.96.109	44.96.109	辽宁省大连市开发区
44.96.110	44.96.113	辽宁省大连市
44.96.114	44.96.114	辽宁省大连市开发区
44.96.115	44.96.121	辽宁省大连市
44.96.122	44.96.122	辽宁省大连市开发区
44.96.123	44.96.137	辽宁省大连市
44.96.138	44.96.138	辽宁省大连市开发区
44.96.139	44.96.143	辽宁省大连市
44.96.144	44.96.144	辽宁省大连市开发区
44.96.145	44.96.145	辽宁省大连市
