
0.0.0	7.*.*	越南
53.64.0	53.127.*	韩国
53.128.0	53.143.*	澳大利亚
53.144.0	53.151.*	亚太地区
53.152.0	53.155.*	马来西亚
53.156.0	53.159.*	新西兰
53.160.0	53.175.*	澳大利亚
53.176.0	53.191.*	北京市
53.192.0	53.*.*	韩国
54.0.0	54.*.*	印度尼西亚
55.0.0	55.127.*	日本
55.128.0	55.191.*	韩国
55.192.0	55.207.*	阿富汗
55.208.0	55.223.*	日本
55.224.0	55.239.*	澳大利亚
55.240.0	55.247.*	印度
55.248.0	55.*.*	柬埔寨
56.0.0	56.*.*	台湾省
57.0.0	57.63.*	安徽省铜陵市
57.64.0	57.182.*	安徽省
57.183.0	57.183.*	安徽省淮北市
57.184.0	57.224.*	安徽省
57.225.0	57.*.*	安徽省淮南市
58.0.0	58.127.*	辽宁省大连市
58.128.0	58.143.*	韩国
58.144.0	58.159.*	日本
58.160.0	58.191.*	新加坡
58.192.0	58.223.*	菲律宾
58.224.0	58.239.*	日本
58.240.0	58.247.*	孟加拉
58.248.0	58.*.*	澳大利亚
59.0.0	59.*.*	重庆市
60.0.0	60.7.*	江苏省常州市
60.8.0	60.15.*	江苏省南通市
60.16.0	60.23.*	江苏省盐城市
60.24.0	60.31.*	江苏省镇江市
60.32.0	60.33.*	江苏省扬州市
60.34.0	60.34.*	江苏省泰州市
60.35.0	60.39.*	江苏省扬州市
60.40.0	60.47.*	江苏省徐州市
60.48.0	60.55.*	江苏省连云港市
60.56.0	60.79.*	江苏省南京市
60.80.0	60.95.*	江苏省无锡市
60.96.0	60.127.*	江苏省苏州市
60.128.0	60.*.*	江苏省
61.0.0	61.55.*	江苏省泰州市
61.56.0	61.56.*	江苏省苏州市
61.57.0	61.57.*	江苏省南京市
61.58.0	61.63.*	江苏省泰州市
61.64.0	61.69.*	江苏省扬州市
61.70.0	61.70.*	江苏省苏州市
61.71.0	61.75.*	江苏省扬州市
61.76.0	61.76.*	江苏省南京市
61.77.0	61.86.*	江苏省扬州市
61.87.0	61.87.*	江苏省泰州市
61.88.0	61.88.*	江苏省扬州市
61.89.0	61.91.*	江苏省南京市
61.92.0	61.127.*	江苏省扬州市
61.128.0	61.139.*	江苏省连云港市
61.140.0	61.140.*	江苏省苏州市
61.141.0	61.146.*	江苏省连云港市
61.147.0	61.147.*	江苏省南京市
61.148.0	61.148.*	江苏省如皋市
61.149.0	61.159.*	江苏省连云港市
61.160.0	61.160.*	江苏省苏州市
61.161.0	61.163.*	江苏省连云港市
61.164.0	61.191.*	江苏省
61.192.0	61.199.*	江苏省淮安市
61.200.0	61.200.*	江苏省盐城市
61.201.0	61.209.*	江苏省淮安市
61.210.0	61.210.*	江苏省苏州市
61.211.0	61.211.*	江苏省淮安市
61.212.0	61.221.*	江苏省
61.222.0	61.222.*	江苏省南京市
61.223.0	61.243.*	江苏省
61.244.0	61.*.*	江苏省宿迁市
62.0.0	62.31.*	江苏省苏州市
62.32.0	62.33.*	江苏省无锡市
62.34.0	62.35.*	江苏省泰州市
62.36.0	62.*.*	江苏省
63.0.0	63.*.*	江苏省常州市
64.0.0	64.91.*	安徽省阜阳市
64.92.0	64.92.*	安徽省蚌埠市
64.93.0	64.191.*	安徽省阜阳市
64.192.0	64.*.*	安徽省合肥市
65.0.0	65.127.*	安徽省蚌埠市
65.128.0	65.*.*	安徽省芜湖市
66.0.0	66.120.*	安徽省马鞍山市
66.121.0	66.128.*	安徽省阜阳市
66.129.0	66.*.*	安徽省安庆市
67.0.0	67.127.*	安徽省阜阳市
67.128.0	67.218.*	安徽省滁州市
67.219.0	67.235.*	安徽省
67.236.0	67.236.*	安徽省天长市
67.237.0	67.*.*	安徽省滁州市
68.0.0	68.127.*	安徽省六安市
68.128.0	68.*.*	安徽省巢湖市
69.0.0	69.63.*	安徽省淮南市
69.64.0	69.127.*	安徽省宿州市
69.128.0	69.156.*	安徽省
69.157.0	69.157.*	安徽省黄山市
69.158.0	69.218.*	安徽省
69.219.0	69.223.*	安徽省淮北市
69.224.0	69.*.*	安徽省
70.0.0	70.63.*	安徽省铜陵市
70.64.0	70.94.*	安徽省
70.95.0	70.95.*	安徽省宁国市
70.96.0	70.127.*	安徽省
70.128.0	70.134.*	安徽省池州市
70.135.0	70.198.*	安徽省
70.199.0	70.*.*	安徽省亳州市
71.0.0	71.146.*	安徽省合肥市
71.147.0	71.147.*	安徽省铜陵市
71.148.0	71.164.*	安徽省合肥市
71.165.0	71.165.*	安徽省芜湖市
71.166.0	71.*.*	安徽省合肥市
72.0.0	72.29.*	北京市
72.30.0	72.30.*	山东省济南市
72.31.0	72.103.*	北京市
72.104.0	72.115.*	江西省吉安市
72.116.0	73.*.*	北京市
74.0.0	74.63.*	日本
74.64.0	74.64.*	北京市
74.65.0	74.65.*	河北省保定市
74.66.0	74.76.*	北京市
74.77.0	74.77.*	北京市丰台区
74.78.0	74.79.*	北京市
74.80.0	74.95.*	亚太地区
74.96.0	74.111.*	澳大利亚
74.112.0	74.127.*	印度尼西亚
74.128.0	74.*.*	上海市
75.0.0	75.0.*	安徽省宿州市
75.1.0	75.127.*	中国
75.128.0	75.128.*	陕西省西安市
75.129.0	75.129.*	中国
75.130.0	75.131.*	重庆市渝北区
75.132.0	75.133.*	重庆市
75.134.0	75.134.*	重庆市合川区
75.135.0	75.135.*	重庆市沙坪坝区
75.136.0	75.136.*	重庆市合川区
75.137.0	75.143.*	中国
75.144.0	75.159.*	广东省广州市
75.160.0	75.160.*	甘肃省兰州市
75.161.0	75.168.*	甘肃省
75.169.0	75.169.*	青海省格尔木市
75.170.0	75.177.*	甘肃省
75.178.0	75.191.*	山西省晋中市
75.192.0	75.192.*	甘肃省张掖市
75.193.0	75.196.*	甘肃省
75.197.0	75.199.*	山西省晋中市
75.200.0	75.200.*	山西省阳泉市
75.201.0	75.208.*	甘肃省
75.209.0	75.209.*	贵州省贵阳市
75.210.0	75.221.*	甘肃省
75.222.0	75.222.*	甘肃省敦煌市
75.223.0	75.223.*	甘肃省
75.224.0	75.239.*	重庆市
75.240.0	75.249.*	青海省西宁市
75.250.0	75.250.*	青海省
75.251.0	75.*.*	青海省西宁市
76.0.0	76.7.*	山东省东营市
76.8.0	76.15.*	山东省潍坊市
76.16.0	76.43.*	山东省济宁市
76.44.0	76.47.*	山东省烟台市
76.48.0	76.63.*	山东省日照市
76.64.0	76.64.*	山东省
76.65.0	76.95.*	山东省泰安市
76.96.0	76.127.*	中国
76.128.0	76.143.*	江苏省苏州市
76.144.0	76.161.*	江苏省
76.162.0	76.162.*	浙江省杭州市
76.163.0	76.191.*	江苏省
76.192.0	76.247.*	江西省南昌市
76.248.0	77.*.*	中国
78.0.0	78.126.*	辽宁省鞍山市
78.127.0	78.236.*	江苏省南京市
78.237.0	78.242.*	江苏省
78.243.0	78.243.*	江苏省镇江市
78.244.0	79.63.*	江苏省
79.64.0	79.127.*	北京市
79.128.0	79.143.*	江苏省
79.144.0	79.151.*	福建省厦门市
79.152.0	79.223.*	江苏省
79.224.0	79.224.*	江苏省苏州市
79.225.0	79.231.*	江苏省
79.232.0	79.235.*	北京市
79.236.0	79.241.*	江苏省
79.242.0	79.242.*	北京市
79.243.0	79.*.*	江苏省
80.0.0	83.*.*	江苏省苏州市
84.0.0	85.*.*	江苏省无锡市
86.0.0	86.*.*	江苏省南通市
87.0.0	87.*.*	江苏省徐州市
88.0.0	89.*.*	江苏省南京市
90.0.0	90.229.*	江苏省镇江市
90.230.0	90.230.*	江苏省丹阳市
90.231.0	90.*.*	江苏省镇江市
91.0.0	91.*.*	江苏省扬州市
92.0.0	92.*.*	江苏省连云港市
93.0.0	93.*.*	江苏省盐城市
94.0.0	94.*.*	江苏省泰州市
95.0.0	95.127.*	江苏省淮安市
95.128.0	95.*.*	江苏省宿迁市
96.0.0	99.*.*	印度
100.0.0	101.127.*	中国
101.128.0	101.128.125	甘肃省
101.128.126	101.128.126	甘肃省兰州市
101.128.127	101.128.*	甘肃省
101.129.0	101.166.*	中国
101.167.0	101.170.*	内蒙古乌海市
101.171.0	101.179.*	内蒙古
101.180.0	101.180.*	内蒙古巴彦淖尔市
101.181.0	101.224.*	中国
101.225.0	101.225.*	重庆市铜梁县
101.226.0	101.*.*	中国
102.0.0	102.63.*	巴基斯坦
102.64.0	102.127.*	印度尼西亚
102.128.0	102.159.*	澳大利亚
102.160.0	102.167.*	印度尼西亚
102.168.0	102.223.*	日本
102.224.0	103.15.*	印度尼西亚
103.16.0	103.31.*	上海市
103.32.0	103.39.*	印度尼西亚
103.40.0	103.47.*	亚太地区
103.48.0	103.71.*	印度尼西亚
103.72.0	103.79.*	亚太地区
103.80.0	103.87.*	孟加拉
103.88.0	103.95.*	马绍尔群岛
103.96.0	103.111.*	台湾省
103.112.0	103.119.*	澳大利亚
103.120.0	103.127.*	亚太地区
103.128.0	103.143.*	北京市
103.144.0	103.159.*	香港
103.160.0	103.167.*	日本
103.168.0	103.175.*	印度尼西亚
103.176.0	103.191.*	日本
103.192.0	103.*.*	越南
104.0.0	104.159.*	日本
104.160.0	104.167.*	澳大利亚
104.168.0	104.175.*	亚太地区
104.176.0	104.183.*	新西兰
104.184.0	104.187.*	新加坡
104.188.0	104.191.*	香港特别行政区
104.192.0	104.223.*	印度尼西亚
104.224.0	104.231.*	阿富汗
104.232.0	104.239.*	印度
104.240.0	104.*.*	菲律宾
105.0.0	105.*.*	新加坡
106.0.0	107.*.*	北京市
108.0.0	109.*.*	日本
110.0.0	111.*.*	韩国
112.0.0	119.*.*	北京市
120.0.0	120.7.*	新加坡
120.8.0	120.23.*	澳大利亚
120.24.0	120.31.*	柬埔寨
120.32.0	120.39.*	新西兰
120.40.0	120.47.*	亚太地区
120.48.0	120.55.*	日本
120.56.0	120.63.*	亚太地区
120.64.0	120.127.*	北京市
120.128.0	120.*.*	福建省厦门市
121.0.0	121.0.*	广东省广州市
121.1.0	121.1.*	广东省梅州市
121.2.0	121.15.*	广东省惠州市
121.16.0	121.23.*	广东省潮州市
121.24.0	121.31.*	广东省中山市
121.32.0	121.47.*	广东省韶关市
121.48.0	121.55.*	广东省阳江市
121.56.0	121.60.*	广东省清远市
121.61.0	121.63.*	广东省广州市
121.64.0	121.64.*	广东省东莞市
121.65.0	121.74.*	广东省广州市
121.75.0	121.75.*	广东省珠海市
121.76.0	121.87.*	广东省广州市
121.88.0	121.88.*	广东省江门市
121.89.0	121.127.*	广东省广州市
121.128.0	121.191.*	中国
121.192.0	121.199.*	上海市
121.200.0	121.207.*	印度尼西亚
121.208.0	121.223.*	泰国
121.224.0	121.239.*	尼泊尔
121.240.0	121.247.*	新加坡
121.248.0	121.*.*	澳大利亚
122.0.0	122.127.*	越南
122.128.0	122.*.*	北京市
123.0.0	123.*.*	韩国
124.0.0	126.26.*	中国
126.27.0	126.27.*	湖南省衡阳市
126.28.0	126.*.*	中国
127.0.0	127.0.*	江西省吉安市
127.1.0	127.15.*	江西省南昌市
127.16.0	127.23.*	江西省九江市
127.24.0	127.31.*	江西省上饶市
127.32.0	127.60.*	江西省
127.61.0	127.63.*	江西省吉安市
127.64.0	127.79.*	江西省赣州市
127.80.0	127.83.*	江西省景德镇市
127.84.0	127.91.*	江西省
127.92.0	127.92.*	江西省萍乡市
127.93.0	127.117.*	江西省
127.118.0	127.118.*	江西省新余市
127.119.0	127.231.*	江西省
127.232.0	127.232.*	江西省南昌市
127.233.0	127.*.*	江西省
128.0.0	128.7.*	中国
128.8.0	130.*.*	北京市
131.0.0	131.127.*	上海市
131.128.0	131.*.*	天津市
132.0.0	132.95.*	山东省青岛市
132.96.0	132.143.*	辽宁省沈阳市
132.144.0	132.175.*	河北省秦皇岛市
132.176.0	132.*.*	中国
133.0.0	134.32.*	北京市
134.33.0	134.*.*	中国
135.0.0	135.191.*	上海市
135.192.0	135.*.*	中国
136.0.0	136.0.*	北京市
136.1.0	136.1.*	天津市
136.2.0	136.2.*	河北省石家庄市
136.3.0	136.3.*	内蒙古
136.4.0	136.4.*	山西省
136.5.0	136.5.*	辽宁省
136.6.0	136.6.*	吉林省
136.7.0	136.7.*	黑龙江省
136.8.0	136.8.*	上海市
136.9.0	136.9.*	山东省
136.10.0	136.10.*	浙江省
136.11.0	136.11.*	福建省
136.12.0	136.12.*	广东省
136.13.0	136.13.*	海南省
136.14.0	136.14.*	广西
136.15.0	136.15.*	四川省
136.16.0	136.16.*	云南省昆明市
136.17.0	136.17.*	贵州省
136.18.0	136.18.*	西藏拉萨市
136.19.0	136.19.*	江苏省
136.20.0	136.20.*	安徽省
136.21.0	136.21.*	江西省九江市
136.22.0	136.22.*	河南省
136.23.0	136.23.*	湖北省
136.24.0	136.24.*	湖南省
136.25.0	136.25.*	陕西省
136.26.0	136.26.*	新疆
136.27.0	136.27.*	甘肃省甘南州
136.28.0	136.28.*	宁夏
136.29.0	136.29.*	青海省
136.30.0	136.30.*	重庆市
136.31.0	136.31.*	广东省
136.32.0	137.5.*	中国
137.6.0	137.6.*	内蒙古
137.7.0	137.73.*	中国
137.74.0	137.74.*	内蒙古
137.75.0	137.75.*	中国
137.76.0	137.76.*	北京市
137.77.0	137.95.*	中国
137.96.0	137.99.*	内蒙古
137.100.0	139.8.*	中国
139.9.0	139.9.*	山东省济南市
139.10.0	139.100.*	中国
139.101.0	139.101.*	四川省
139.102.0	146.*.*	中国
147.0.0	147.159.*	辽宁省
147.160.0	147.160.*	辽宁省鞍山市
147.161.0	147.*.*	辽宁省
148.0.0	185.*.*	中国
186.0.0	186.198.*	福建省
186.199.0	186.199.*	福建省福州市
186.200.0	186.*.*	福建省
187.0.0	191.*.*	中国
192.0.0	*.*.*	印度
